period,scenario,subperiod,hydro,thermal,renewable,battery_unit,deficit
1,1,1,0.05184,2.107968,0.48,0.0,0.0
1,2,1,0.023045,2.136763,0.48,0.0,0.0
1,3,1,0.005765,2.154043,0.48,0.0,0.0
1,4,1,0.05184,1.86816,0.24,0.0,0.0
1,5,1,0.023045,1.896955,0.24,0.0,0.0
1,6,1,0.005765,1.914235,0.24,0.0,0.0
1,7,1,0.05184,1.62816,0.48,0.0,0.0
1,8,1,0.023045,1.656955,0.48,0.0,0.0
1,9,1,0.005765,1.674235,0.48,0.0,0.0
1,10,1,0.05184,2.347968,0.24,0.0,0.0
1,11,1,0.023045,2.376763,0.24,0.0,0.0
1,12,1,0.005765,2.394043,0.24,0.0,0.0
2,1,1,0.023045,2.136955,0.72,0.0,0.0
2,2,1,0.011515,2.148485,0.72,0.0,0.0
2,3,1,0.005765,2.154235,0.72,0.0,0.0
2,4,1,0.023045,1.897147,0.48,0.0,0.0
2,5,1,0.011515,1.908677,0.48,0.0,0.0
2,6,1,0.005765,1.914427,0.48,0.0,0.0
2,7,1,0.023045,1.657147,0.72,0.0,0.0
2,8,1,0.011515,1.668677,0.72,0.0,0.0
2,9,1,0.005765,1.674427,0.72,0.0,0.0
2,10,1,0.023045,2.376955,0.48,0.0,0.0
2,11,1,0.011515,2.388485,0.48,0.0,0.0
2,12,1,0.005765,2.394235,0.48,0.0,0.0
