period,scenario,subperiod,Thermal Owner - Island,Price Taker - Island,Hydro Owner - Island
1,1,1,2.88192e6,4.88716e6,155623.67
1,2,1,2.88192e6,4.9736025e6,69181.086
1,3,1,2.88192e6,5.025477e6,17306.53
1,4,1,2.880576e6,3.445169e6,155551.11
1,5,1,2.880576e6,3.5315712e6,69148.83
1,6,1,2.880576e6,3.5834215e6,17298.459
1,7,1,2.880576e6,3.445169e6,155551.11
1,8,1,2.880576e6,3.5315712e6,69148.83
1,9,1,2.880576e6,3.5834215e6,17298.459
1,10,1,2.88192e6,4.88716e6,155623.67
1,11,1,2.88192e6,4.9736025e6,69181.086
1,12,1,2.88192e6,5.025477e6,17306.53
2,1,1,2.88192e6,5.694659e6,69181.086
2,2,1,2.88192e6,5.729272e6,34568.03
2,3,1,2.88192e6,5.7465335e6,17306.53
2,4,1,2.880576e6,4.2522915e6,69148.83
2,5,1,2.880576e6,4.2868885e6,34551.91
2,6,1,2.880576e6,4.3041415e6,17298.459
2,7,1,2.880576e6,4.2522915e6,69148.83
2,8,1,2.880576e6,4.2868885e6,34551.91
2,9,1,2.880576e6,4.304142e6,17298.459
2,10,1,2.88192e6,5.694659e6,69181.086
2,11,1,2.88192e6,5.729272e6,34568.03
2,12,1,2.88192e6,5.7465335e6,17306.53
