period,scenario,subscenario,subperiod,Hydro Upstream,Hydro Downstream
1,1,1,1,0.08,0.56
1,1,1,2,0.0,0.216
1,1,1,3,0.08,0.56
1,1,2,1,0.08,0.56
1,1,2,2,0.0,0.456
1,1,2,3,0.08,0.56
1,1,3,1,0.08,0.56
1,1,3,2,0.0,0.056
1,1,3,3,0.08,0.56
1,1,4,1,0.08,0.56
1,1,4,2,0.0,0.296
1,1,4,3,0.08,0.56
1,2,1,1,0.06,0.42
1,2,1,2,0.0,0.216
1,2,1,3,0.06,0.42
1,2,2,1,0.06,0.42
1,2,2,2,0.036,0.42
1,2,2,3,0.06,0.42
1,2,3,1,0.06,0.42
1,2,3,2,0.0,0.056
1,2,3,3,0.06,0.42
1,2,4,1,0.06,0.42
1,2,4,2,0.0,0.296
1,2,4,3,0.06,0.42
1,3,1,1,0.01,0.07
1,3,1,2,0.01,0.07
1,3,1,3,0.01,0.07
1,3,2,1,0.01,0.07
1,3,2,2,0.01,0.07
1,3,2,3,0.01,0.07
1,3,3,1,0.01,0.07
1,3,3,2,0.01,0.046
1,3,3,3,0.01,0.07
1,3,4,1,0.01,0.07
1,3,4,2,0.01,0.07
1,3,4,3,0.01,0.07
2,1,1,1,0.01,0.07
2,1,1,2,0.01,0.07
2,1,1,3,0.01,0.07
2,1,2,1,0.01,0.07
2,1,2,2,0.01,0.07
2,1,2,3,0.01,0.07
2,1,3,1,0.01,0.07
2,1,3,2,0.01,0.07
2,1,3,3,0.01,0.07
2,1,4,1,0.01,0.07
2,1,4,2,0.01,0.07
2,1,4,3,0.01,0.07
2,2,1,1,0.01,0.07
2,2,1,2,0.01,0.07
2,2,1,3,0.01,0.07
2,2,2,1,0.01,0.07
2,2,2,2,0.01,0.07
2,2,2,3,0.01,0.07
2,2,3,1,0.01,0.07
2,2,3,2,0.01,0.07
2,2,3,3,0.01,0.07
2,2,4,1,0.01,0.07
2,2,4,2,0.01,0.07
2,2,4,3,0.01,0.07
2,3,1,1,0.01,0.07
2,3,1,2,0.01,0.07
2,3,1,3,0.01,0.07
2,3,2,1,0.01,0.07
2,3,2,2,0.01,0.07
2,3,2,3,0.01,0.07
2,3,3,1,0.01,0.07
2,3,3,2,0.01,0.07
2,3,3,3,0.01,0.07
2,3,4,1,0.01,0.07
2,3,4,2,0.01,0.07
2,3,4,3,0.01,0.07
3,1,1,1,0.01,0.07
3,1,1,2,0.01,0.07
3,1,1,3,0.01,0.07
3,1,2,1,0.01,0.07
3,1,2,2,0.01,0.07
3,1,2,3,0.01,0.07
3,1,3,1,0.01,0.07
3,1,3,2,0.01,0.07
3,1,3,3,0.01,0.07
3,1,4,1,0.01,0.07
3,1,4,2,0.01,0.07
3,1,4,3,0.01,0.07
3,2,1,1,0.01,0.07
3,2,1,2,0.01,0.07
3,2,1,3,0.01,0.07
3,2,2,1,0.01,0.07
3,2,2,2,0.01,0.07
3,2,2,3,0.01,0.07
3,2,3,1,0.01,0.07
3,2,3,2,0.01,0.07
3,2,3,3,0.01,0.07
3,2,4,1,0.01,0.07
3,2,4,2,0.01,0.07
3,2,4,3,0.01,0.07
3,3,1,1,0.01,0.07
3,3,1,2,0.01,0.07
3,3,1,3,0.01,0.07
3,3,2,1,0.01,0.07
3,3,2,2,0.01,0.07
3,3,2,3,0.01,0.07
3,3,3,1,0.01,0.07
3,3,3,2,0.01,0.07
3,3,3,3,0.01,0.07
3,3,4,1,0.01,0.07
3,3,4,2,0.01,0.07
3,3,4,3,0.01,0.07
4,1,1,1,0.01,0.07
4,1,1,2,0.01,0.07
4,1,1,3,0.01,0.07
4,1,2,1,0.01,0.07
4,1,2,2,0.01,0.07
4,1,2,3,0.01,0.07
4,1,3,1,0.01,0.07
4,1,3,2,0.01,0.07
4,1,3,3,0.01,0.07
4,1,4,1,0.01,0.07
4,1,4,2,0.01,0.07
4,1,4,3,0.01,0.07
4,2,1,1,0.01,0.07
4,2,1,2,0.01,0.07
4,2,1,3,0.01,0.07
4,2,2,1,0.01,0.07
4,2,2,2,0.01,0.07
4,2,2,3,0.01,0.07
4,2,3,1,0.01,0.07
4,2,3,2,0.01,0.07
4,2,3,3,0.01,0.07
4,2,4,1,0.01,0.07
4,2,4,2,0.01,0.07
4,2,4,3,0.01,0.07
4,3,1,1,0.01,0.07
4,3,1,2,0.01,0.07
4,3,1,3,0.01,0.07
4,3,2,1,0.01,0.07
4,3,2,2,0.01,0.07
4,3,2,3,0.01,0.07
4,3,3,1,0.01,0.07
4,3,3,2,0.01,0.07
4,3,3,3,0.01,0.07
4,3,4,1,0.01,0.07
4,3,4,2,0.01,0.07
4,3,4,3,0.01,0.07
5,1,1,1,0.08,0.56
5,1,1,2,0.0,0.216
5,1,1,3,0.08,0.56
