period,scenario,subscenario,subperiod,Eastern,Western
1,1,1,1,10.0,10.0
1,1,1,2,-0.0,-0.0
1,1,1,3,30.0,100000.0
1,1,2,1,10.0,10.0
1,1,2,2,-0.0,-0.0
1,1,2,3,30.0,100000.0
1,1,3,1,10.0,10.0
1,1,3,2,-0.0,-0.0
1,1,3,3,10.0,10.0
1,1,4,1,10.0,10.0
1,1,4,2,-0.0,-0.0
1,1,4,3,10.0,10.0
1,2,1,1,30.0,30.0
1,2,1,2,-0.0,-0.0
1,2,1,3,100.0,100000.0
1,2,2,1,30.0,30.0
1,2,2,2,-0.0,-0.0
1,2,2,3,100.0,100000.0
1,2,3,1,10.0,10.0
1,2,3,2,-0.0,-0.0
1,2,3,3,30.0,30.0
1,2,4,1,10.0,10.0
1,2,4,2,-0.0,-0.0
1,2,4,3,30.0,30.0
1,3,1,1,300.0,300.0
1,3,1,2,10.0,10.0
1,3,1,3,1000.0,100000.0
1,3,2,1,300.0,300.0
1,3,2,2,30.0,30.0
1,3,2,3,1000.0,100000.0
1,3,3,1,100.0,100.0
1,3,3,2,-0.0,-0.0
1,3,3,3,300.0,300.0
1,3,4,1,100.0,100.0
1,3,4,2,30.0,30.0
1,3,4,3,300.0,300.0
2,1,1,1,300.0,300.0
2,1,1,2,100.0,100.0
2,1,1,3,1000.0,100000.0
2,1,2,1,300.0,300.0
2,1,2,2,300.0,300.0
2,1,2,3,1000.0,100000.0
2,1,3,1,100.0,100.0
2,1,3,2,30.0,30.0
2,1,3,3,1000.0,100000.0
2,1,4,1,100.0,100.0
2,1,4,2,300.0,300.0
2,1,4,3,1000.0,100000.0
2,2,1,1,300.0,300.0
2,2,1,2,100.0,100.0
2,2,1,3,1000.0,100000.0
2,2,2,1,300.0,300.0
2,2,2,2,300.0,300.0
2,2,2,3,1000.0,100000.0
2,2,3,1,100.0,100.0
2,2,3,2,30.0,30.0
2,2,3,3,1000.0,100000.0
2,2,4,1,100.0,100.0
2,2,4,2,300.0,300.0
2,2,4,3,1000.0,100000.0
2,3,1,1,300.0,300.0
2,3,1,2,100.0,100.0
