period,scenario,subscenario,subperiod,Eastern,Western
1,1,1,1,10.0,10.0
1,1,1,2,-0.0,-0.0
1,1,1,3,50.0,300.0
1,1,2,1,10.0,10.0
1,1,2,2,-0.0,-0.0
1,1,2,3,50.0,300.0
1,1,3,1,10.0,10.0
1,1,3,2,-0.0,-0.0
1,1,3,3,10.0,10.0
1,1,4,1,10.0,10.0
1,1,4,2,-0.0,-0.0
1,1,4,3,10.0,10.0
1,2,1,1,10.0,10.0
1,2,1,2,10.0,10.0
1,2,1,3,50.0,300.0
1,2,2,1,50.0,50.0
1,2,2,2,50.0,50.0
1,2,2,3,50.0,300.0
1,2,3,1,10.0,10.0
1,2,3,2,-0.0,-0.0
1,2,3,3,10.0,10.0
1,2,4,1,10.0,10.0
1,2,4,2,10.0,10.0
1,2,4,3,10.0,10.0
1,3,1,1,200.0,200.0
1,3,1,2,50.0,50.0
1,3,1,3,200.0,300.0
1,3,2,1,200.0,200.0
1,3,2,2,100.0,100.0
1,3,2,3,200.0,300.0
1,3,3,1,100.0,100.0
1,3,3,2,10.0,10.0
1,3,3,3,100.0,100.0
1,3,4,1,100.0,100.0
1,3,4,2,50.0,50.0
1,3,4,3,100.0,100.0
2,1,1,1,195.262315,195.262315
2,1,1,2,195.262315,195.262315
2,1,1,3,195.262315,292.893473
2,1,2,1,195.262315,195.262315
2,1,2,2,195.262315,195.262315
2,1,2,3,195.262315,292.893473
2,1,3,1,97.631158,97.631158
2,1,3,2,97.631158,97.631158
2,1,3,3,195.262315,292.893473
2,1,4,1,97.631158,97.631158
2,1,4,2,195.262315,195.262315
2,1,4,3,195.262315,292.893473
2,2,1,1,195.262315,195.262315
2,2,1,2,195.262315,195.262315
2,2,1,3,195.262315,292.893473
2,2,2,1,195.262315,195.262315
2,2,2,2,195.262315,195.262315
2,2,2,3,195.262315,292.893473
2,2,3,1,97.631158,97.631158
2,2,3,2,97.631158,97.631158
2,2,3,3,195.262315,292.893473
2,2,4,1,97.631158,97.631158
2,2,4,2,195.262315,195.262315
2,2,4,3,195.262315,292.893473
2,3,1,1,195.262315,195.262315
