period,scenario,subscenario,subperiod,Hydro Upstream,Hydro Downstream
1,1,1,1,0.0,0.0
1,1,1,2,0.0,0.0
1,1,1,3,0.0,0.0
1,1,2,1,0.0,0.0
1,1,2,2,0.0,0.0
1,1,2,3,0.0,0.0
1,1,3,1,0.0,0.0
1,1,3,2,0.0,0.0
1,1,3,3,0.0,0.0
1,1,4,1,0.0,0.0
1,1,4,2,0.0,0.0
1,1,4,3,0.0,0.0
1,2,1,1,10.0,10.0
1,2,1,2,10.0,10.0
1,2,1,3,50.0,4.285714
1,2,2,1,50.0,50.0
1,2,2,2,50.0,50.0
1,2,2,3,50.0,50.0
1,2,3,1,0.0,0.0
1,2,3,2,0.0,0.0
1,2,3,3,0.0,0.0
1,2,4,1,10.0,10.0
1,2,4,2,10.0,10.0
1,2,4,3,10.0,10.0
1,3,1,1,200.0,200.0
1,3,1,2,1250.0,50.0
1,3,1,3,200.0,200.0
1,3,2,1,200.0,200.0
1,3,2,2,900.0,100.0
1,3,2,3,200.0,200.0
1,3,3,1,100.0,100.0
1,3,3,2,730.0,10.0
1,3,3,3,100.0,100.0
1,3,4,1,100.0,100.0
1,3,4,2,450.0,50.0
1,3,4,3,100.0,100.0
2,1,1,1,195.262315,195.262315
2,1,1,2,195.262315,195.262315
2,1,1,3,195.262315,195.262315
2,1,2,1,195.262315,195.262315
2,1,2,2,195.262315,195.262315
2,1,2,3,195.262315,195.262315
2,1,3,1,97.631158,209.209623
2,1,3,2,97.631158,209.209623
2,1,3,3,195.262315,195.262315
2,1,4,1,97.631158,209.209623
2,1,4,2,195.262315,195.262315
2,1,4,3,195.262315,195.262315
2,2,1,1,195.262315,195.262315
2,2,1,2,195.262315,195.262315
2,2,1,3,195.262315,195.262315
2,2,2,1,195.262315,195.262315
2,2,2,2,195.262315,195.262315
2,2,2,3,195.262315,195.262315
2,2,3,1,97.631158,209.209623
2,2,3,2,97.631158,209.209623
2,2,3,3,195.262315,195.262315
2,2,4,1,97.631158,209.209623
2,2,4,2,195.262315,195.262315
2,2,4,3,195.262315,195.262315
2,3,1,1,195.262315,195.262315
2,3,1,2,195.262315,195.262315
2,3,1,3,195.262315,195.262315
2,3,2,1,195.262315,195.262315
2,3,2,2,195.262315,195.262315
2,3,2,3,195.262315,195.262315
2,3,3,1,97.631158,209.209623
2,3,3,2,97.631158,209.209623
2,3,3,3,195.262315,195.262315
2,3,4,1,97.631158,209.209623
2,3,4,2,195.262315,195.262315
2,3,4,3,195.262315,195.262315
3,1,1,1,190.636859,190.636859
3,1,1,2,190.636859,190.636859
3,1,1,3,190.636859,190.636859
3,1,2,1,190.636859,190.636859
3,1,2,2,190.636859,190.636859
3,1,2,3,190.636859,190.636859
3,1,3,1,95.318429,204.253777
3,1,3,2,95.318429,204.253777
3,1,3,3,190.636859,190.636859
3,1,4,1,95.318429,204.253777
3,1,4,2,190.636859,190.636859
3,1,4,3,190.636859,190.636859
3,2,1,1,190.636859,190.636859
3,2,1,2,190.636859,190.636859
3,2,1,3,190.636859,190.636859
3,2,2,1,190.636859,190.636859
3,2,2,2,190.636859,190.636859
3,2,2,3,190.636859,190.636859
3,2,3,1,95.318429,204.253777
3,2,3,2,95.318429,204.253777
3,2,3,3,190.636859,190.636859
3,2,4,1,95.318429,204.253777
3,2,4,2,190.636859,190.636859
3,2,4,3,190.636859,190.636859
3,3,1,1,190.636859,190.636859
3,3,1,2,190.636859,190.636859
3,3,1,3,190.636859,190.636859
3,3,2,1,190.636859,190.636859
3,3,2,2,190.636859,190.636859
3,3,2,3,190.636859,190.636859
3,3,3,1,95.318429,204.253777
3,3,3,2,95.318429,204.253777
3,3,3,3,190.636859,190.636859
3,3,4,1,95.318429,204.253777
3,3,4,2,190.636859,190.636859
3,3,4,3,190.636859,190.636859
4,1,1,1,186.120972,186.120972
4,1,1,2,186.120972,186.120972
4,1,1,3,186.120972,186.120972
4,1,2,1,186.120972,186.120972
4,1,2,2,186.120972,186.120972
4,1,2,3,186.120972,186.120972
4,1,3,1,93.060486,199.415327
4,1,3,2,93.060486,199.415327
4,1,3,3,186.120972,186.120972
4,1,4,1,93.060486,199.415327
4,1,4,2,186.120972,186.120972
4,1,4,3,186.120972,186.120972
4,2,1,1,186.120972,186.120972
4,2,1,2,186.120972,186.120972
4,2,1,3,186.120972,186.120972
4,2,2,1,186.120972,186.120972
4,2,2,2,186.120972,186.120972
4,2,2,3,186.120972,186.120972
4,2,3,1,93.060486,199.415327
4,2,3,2,93.060486,199.415327
4,2,3,3,186.120972,186.120972
4,2,4,1,93.060486,199.415327
4,2,4,2,186.120972,186.120972
4,2,4,3,186.120972,186.120972
4,3,1,1,186.120972,186.120972
4,3,1,2,186.120972,186.120972
4,3,1,3,186.120972,186.120972
4,3,2,1,186.120972,186.120972
4,3,2,2,186.120972,186.120972
4,3,2,3,186.120972,186.120972
4,3,3,1,93.060486,199.415327
4,3,3,2,93.060486,199.415327
4,3,3,3,186.120972,186.120972
4,3,4,1,93.060486,199.415327
4,3,4,2,186.120972,186.120972
4,3,4,3,186.120972,186.120972
5,1,1,1,0.0,0.0
5,1,1,2,0.0,0.0
5,1,1,3,0.0,0.0
5,1,2,1,0.0,0.0
5,1,2,2,0.0,0.0
5,1,2,3,0.0,0.0
5,1,3,1,0.0,0.0
5,1,3,2,0.0,0.0
5,1,3,3,0.0,0.0
5,1,4,1,0.0,0.0
5,1,4,2,0.0,0.0
5,1,4,3,0.0,0.0
5,2,1,1,9.085603,9.085603
5,2,1,2,9.085603,9.085603
5,2,1,3,45.428015,3.89383
5,2,2,1,45.428015,45.428015
5,2,2,2,45.428015,45.428015
5,2,2,3,45.428015,45.428015
5,2,3,1,0.0,0.0
5,2,3,2,0.0,0.0
5,2,3,3,0.0,0.0
5,2,4,1,9.085603,9.085603
5,2,4,2,9.085603,9.085603
5,2,4,3,9.085603,9.085603
5,3,1,1,181.712059,181.712059
5,3,1,2,1135.700371,45.428015
5,3,1,3,181.712059,181.712059
5,3,2,1,181.712059,181.712059
5,3,2,2,817.704267,90.85603
5,3,2,3,181.712059,181.712059
5,3,3,1,90.85603,90.85603
5,3,3,2,663.249016,9.085603
5,3,3,3,90.85603,90.85603
5,3,4,1,90.85603,90.85603
5,3,4,2,408.852133,45.428015
5,3,4,3,90.85603,90.85603
6,1,1,1,0.0,0.0
6,1,1,2,0.0,0.0
6,1,1,3,0.0,0.0
6,1,2,1,0.0,0.0
6,1,2,2,0.0,0.0
6,1,2,3,0.0,0.0
6,1,3,1,0.0,0.0
6,1,3,2,0.0,0.0
6,1,3,3,0.0,0.0
6,1,4,1,0.0,0.0
6,1,4,2,0.0,0.0
6,1,4,3,0.0,0.0
6,2,1,1,8.870379,8.870379
6,2,1,2,8.870379,8.870379
6,2,1,3,44.351897,3.801591
6,2,2,1,44.351897,44.351897
6,2,2,2,44.351897,44.351897
6,2,2,3,44.351897,44.351897
6,2,3,1,0.0,0.0
6,2,3,2,0.0,0.0
6,2,3,3,0.0,0.0
6,2,4,1,8.870379,8.870379
6,2,4,2,8.870379,8.870379
6,2,4,3,8.870379,8.870379
6,3,1,1,177.407587,177.407587
6,3,1,2,1108.797418,44.351897
6,3,1,3,177.407587,177.407587
6,3,2,1,177.407587,177.407587
6,3,2,2,798.334141,88.703793
6,3,2,3,177.407587,177.407587
6,3,3,1,88.703793,88.703793
6,3,3,2,647.537692,8.870379
6,3,3,3,88.703793,88.703793
6,3,4,1,88.703793,88.703793
