period,scenario,subperiod,bid_segment,Thermal Owner - Island,Price Taker - Island,Hydro Owner - Island
1,1,1,1,15.0,45.0,0.0
1,1,1,2,150.0,450.0,0.0
1,1,1,3,0.0,1500.0,0.0
1,1,1,4,0.0,4500.0,0.0
1,1,1,5,0.0,0.0,0.0
1,2,1,1,15.0,45.0,0.0
1,2,1,2,150.0,450.0,0.0
1,2,1,3,0.0,1500.0,0.0
1,2,1,4,0.0,4500.0,0.0
1,2,1,5,0.0,0.0,0.0
1,3,1,1,15.0,45.0,0.0
1,3,1,2,150.0,450.0,0.0
1,3,1,3,0.0,1500.0,0.0
1,3,1,4,0.0,4500.0,0.0
1,3,1,5,0.0,0.0,0.0
1,4,1,1,15.0,45.0,0.0
1,4,1,2,150.0,450.0,0.0
1,4,1,3,0.0,1500.0,0.0
1,4,1,4,0.0,4500.0,0.0
1,4,1,5,0.0,0.0,0.0
1,5,1,1,15.0,45.0,0.0
1,5,1,2,150.0,450.0,0.0
1,5,1,3,0.0,1500.0,0.0
1,5,1,4,0.0,4500.0,0.0
1,5,1,5,0.0,0.0,0.0
1,6,1,1,15.0,45.0,0.0
1,6,1,2,150.0,450.0,0.0
1,6,1,3,0.0,1500.0,0.0
1,6,1,4,0.0,4500.0,0.0
1,6,1,5,0.0,0.0,0.0
1,7,1,1,15.0,45.0,0.0
1,7,1,2,150.0,450.0,0.0
1,7,1,3,0.0,1500.0,0.0
1,7,1,4,0.0,4500.0,0.0
1,7,1,5,0.0,0.0,0.0
1,8,1,1,15.0,45.0,0.0
1,8,1,2,150.0,450.0,0.0
1,8,1,3,0.0,1500.0,0.0
1,8,1,4,0.0,4500.0,0.0
1,8,1,5,0.0,0.0,0.0
1,9,1,1,15.0,45.0,0.0
1,9,1,2,150.0,450.0,0.0
1,9,1,3,0.0,1500.0,0.0
1,9,1,4,0.0,4500.0,0.0
1,9,1,5,0.0,0.0,0.0
1,10,1,1,15.0,45.0,0.0
1,10,1,2,150.0,450.0,0.0
1,10,1,3,0.0,1500.0,0.0
1,10,1,4,0.0,4500.0,0.0
1,10,1,5,0.0,0.0,0.0
1,11,1,1,15.0,45.0,0.0
1,11,1,2,150.0,450.0,0.0
1,11,1,3,0.0,1500.0,0.0
1,11,1,4,0.0,4500.0,0.0
1,11,1,5,0.0,0.0,0.0
1,12,1,1,15.0,45.0,0.0
1,12,1,2,150.0,450.0,0.0
1,12,1,3,0.0,1500.0,0.0
1,12,1,4,0.0,4500.0,0.0
1,12,1,5,0.0,0.0,0.0
2,1,1,1,15.0,45.0,0.0
2,1,1,2,150.0,450.0,0.0
2,1,1,3,0.0,1500.0,0.0
2,1,1,4,0.0,4500.0,0.0
2,1,1,5,0.0,0.0,0.0
2,2,1,1,15.0,45.0,0.0
2,2,1,2,150.0,450.0,0.0
2,2,1,3,0.0,1500.0,0.0
2,2,1,4,0.0,4500.0,0.0
2,2,1,5,0.0,0.0,0.0
2,3,1,1,15.0,45.0,0.0
2,3,1,2,150.0,450.0,0.0
2,3,1,3,0.0,1500.0,0.0
2,3,1,4,0.0,4500.0,0.0
2,3,1,5,0.0,0.0,0.0
2,4,1,1,15.0,45.0,0.0
2,4,1,2,150.0,450.0,0.0
2,4,1,3,0.0,1500.0,0.0
2,4,1,4,0.0,4500.0,0.0
2,4,1,5,0.0,0.0,0.0
2,5,1,1,15.0,45.0,0.0
2,5,1,2,150.0,450.0,0.0
2,5,1,3,0.0,1500.0,0.0
2,5,1,4,0.0,4500.0,0.0
2,5,1,5,0.0,0.0,0.0
2,6,1,1,15.0,45.0,0.0
2,6,1,2,150.0,450.0,0.0
2,6,1,3,0.0,1500.0,0.0
2,6,1,4,0.0,4500.0,0.0
2,6,1,5,0.0,0.0,0.0
2,7,1,1,15.0,45.0,0.0
2,7,1,2,150.0,450.0,0.0
2,7,1,3,0.0,1500.0,0.0
2,7,1,4,0.0,4500.0,0.0
2,7,1,5,0.0,0.0,0.0
2,8,1,1,15.0,45.0,0.0
2,8,1,2,150.0,450.0,0.0
2,8,1,3,0.0,1500.0,0.0
2,8,1,4,0.0,4500.0,0.0
2,8,1,5,0.0,0.0,0.0
2,9,1,1,15.0,45.0,0.0
2,9,1,2,150.0,450.0,0.0
2,9,1,3,0.0,1500.0,0.0
2,9,1,4,0.0,4500.0,0.0
2,9,1,5,0.0,0.0,0.0
2,10,1,1,15.0,45.0,0.0
2,10,1,2,150.0,450.0,0.0
2,10,1,3,0.0,1500.0,0.0
2,10,1,4,0.0,4500.0,0.0
2,10,1,5,0.0,0.0,0.0
2,11,1,1,15.0,45.0,0.0
2,11,1,2,150.0,450.0,0.0
2,11,1,3,0.0,1500.0,0.0
2,11,1,4,0.0,4500.0,0.0
2,11,1,5,0.0,0.0,0.0
2,12,1,1,15.0,45.0,0.0
2,12,1,2,150.0,450.0,0.0
2,12,1,3,0.0,1500.0,0.0
2,12,1,4,0.0,4500.0,0.0
2,12,1,5,0.0,0.0,0.0
