period,scenario,subperiod,ThermalA_01 - Eastern,ThermalA_01 - Western,PortfolioA_01 - Eastern,PortfolioA_01 - Western,PortfolioA_02 - Eastern,PortfolioA_02 - Western,PricetakerA_01 - Eastern,PricetakerA_01 - Western,SelfproducerA_01 - Eastern,SelfproducerA_01 - Western,SelfproducerA_02 - Eastern,SelfproducerA_02 - Western,UpstreamA_01 - Eastern,UpstreamA_01 - Western,DownstreamA_01 - Eastern,DownstreamA_01 - Western
1,1,1,959.9995803833008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1679.9995727539062,0.0,0.0,0.0,0.0,0.0,0.0,2399.96630859375,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,1419.9976234436035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0057983398438,0.0,0.0,0.0,17.5,0.0,17.5,0.0
1,2,2,580.0011672973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,17.5,0.0
1,2,3,1679.9995727539062,0.0,0.0,0.0,0.0,0.0,0.0,2399.96630859375,2000.0,0.0,0.0,0.0,27.5,0.0,16.071428537368774,0.0
1,3,1,21599.9794921875,0.0,13600.0234375,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0
1,3,2,3040.0050659179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3899.999008178711,0.0,0.0,0.0,832.5,0.0,52.5,0.0
1,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,2399.96630859375,10000.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0
2,1,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
2,1,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
2,1,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
2,2,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
2,2,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
2,2,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
2,3,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
2,3,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
2,3,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
3,1,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
3,1,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
3,1,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
3,2,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
3,2,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
3,2,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
3,3,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
3,3,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
3,3,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
4,1,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
4,1,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
4,1,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
4,2,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
4,2,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
4,2,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
4,3,1,20800.0078125,0.0,6400.000732421875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,207.14286041259766,0.0
4,3,2,18400.004638671875,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,175.0,0.0,203.57143020629883,0.0
4,3,3,22000.0,0.0,31600.0087890625,0.0,0.0,0.0,0.0,28800.02783203125,10000.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0
5,1,1,959.9995803833008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,3,1679.9995727539062,0.0,0.0,0.0,0.0,0.0,0.0,2399.96630859375,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,1,1419.9976234436035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0057983398438,0.0,0.0,0.0,17.5,0.0,17.5,0.0
5,2,2,580.0011672973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,17.5,0.0
5,2,3,1679.9995727539062,0.0,0.0,0.0,0.0,0.0,0.0,2399.96630859375,2000.0,0.0,0.0,0.0,27.5,0.0,16.071428537368774,0.0
5,3,1,21599.9794921875,0.0,13600.0234375,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0
5,3,2,3040.0050659179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3899.999008178711,0.0,0.0,0.0,832.5,0.0,52.5,0.0
5,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,2399.96630859375,10000.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0
6,1,1,959.9995803833008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,3,1679.9995727539062,0.0,0.0,0.0,0.0,0.0,0.0,2399.96630859375,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,1,1419.9976234436035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0057983398438,0.0,0.0,0.0,17.5,0.0,17.5,0.0
6,2,2,580.0011672973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,17.5,0.0
6,2,3,1679.9995727539062,0.0,0.0,0.0,0.0,0.0,0.0,2399.96630859375,2000.0,0.0,0.0,0.0,27.5,0.0,16.071428537368774,0.0
6,3,1,21599.9794921875,0.0,13600.0234375,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0
6,3,2,3040.0050659179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3899.999008178711,0.0,0.0,0.0,832.5,0.0,52.5,0.0
6,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,2399.96630859375,10000.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0
