period,scenario,subperiod,ThermalA_01 - Eastern,ThermalA_01 - Western,PortfolioA_01 - Eastern,PortfolioA_01 - Western,PortfolioA_02 - Eastern,PortfolioA_02 - Western,PricetakerA_01 - Eastern,PricetakerA_01 - Western,SelfproducerA_01 - Eastern,SelfproducerA_01 - Western,SelfproducerA_02 - Eastern,SelfproducerA_02 - Western,UpstreamA_01 - Eastern,UpstreamA_01 - Western,DownstreamA_01 - Eastern,DownstreamA_01 - Western
1,1,1,0.0004272461,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,4000.0005,0.0,0.0,0.0,0.0,6200.0,0.0,0.033691406,0.0,0.0,0.0,0.0,2400.0,0.0,16800.0,0.0
1,2,1,1999.9999,0.0,0.0,0.0,0.0,800.0,0.0,0.0,-0.005859375,0.0,0.0,0.0,1382.5,0.0,9782.5,0.0
1,2,2,1999.9988,0.0,0.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,532.5,0.0,3832.5,0.0
1,2,3,4000.0005,0.0,0.0,0.0,0.0,6200.0,0.0,0.033691406,0.0,0.0,0.0,0.0,2372.5,0.0,16783.928,0.0
1,3,1,38000.02,0.0,-0.022460938,0.0,0.0,6000.0,0.0,0.0,20000.0,0.0,0.0,0.0,1250.0,0.0,9650.0,0.0
1,3,2,8499.995,0.0,0.0,0.0,0.0,24600.0,0.0,0.0,2500.001,0.0,0.0,0.0,-832.5,0.0,-52.5,0.0
1,3,3,38000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.033691406,20000.0,0.0,0.0,0.0,2950.0,0.0,21550.0,0.0
2,1,1,37999.992,0.0,-0.0009765625,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,750.0,0.0,6092.857,0.0
2,1,2,47999.996,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,25000.0,0.0,0.0,0.0,875.0,0.0,7146.4287,0.0
2,1,3,58000.0,0.0,-0.0078125,0.0,0.0,0.0,0.0,-0.02734375,30000.0,0.0,0.0,0.0,3850.0,0.0,28150.0,0.0
2,2,1,37999.992,0.0,-0.0009765625,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,750.0,0.0,6092.857,0.0
2,2,2,47999.996,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,25000.0,0.0,0.0,0.0,875.0,0.0,7146.4287,0.0
2,2,3,58000.0,0.0,-0.0078125,0.0,0.0,0.0,0.0,-0.02734375,30000.0,0.0,0.0,0.0,3850.0,0.0,28150.0,0.0
2,3,1,37999.992,0.0,-0.0009765625,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,750.0,0.0,6092.857,0.0
2,3,2,47999.996,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,25000.0,0.0,0.0,0.0,875.0,0.0,7146.4287,0.0
2,3,3,58000.0,0.0,-0.0078125,0.0,0.0,0.0,0.0,-0.02734375,30000.0,0.0,0.0,0.0,3850.0,0.0,28150.0,0.0
3,1,1,37999.992,0.0,-0.0009765625,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,750.0,0.0,6092.857,0.0
3,1,2,47999.996,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,25000.0,0.0,0.0,0.0,875.0,0.0,7146.4287,0.0
3,1,3,58000.0,0.0,-0.0078125,0.0,0.0,0.0,0.0,-0.02734375,30000.0,0.0,0.0,0.0,3850.0,0.0,28150.0,0.0
3,2,1,37999.992,0.0,-0.0009765625,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,750.0,0.0,6092.857,0.0
3,2,2,47999.996,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,25000.0,0.0,0.0,0.0,875.0,0.0,7146.4287,0.0
3,2,3,58000.0,0.0,-0.0078125,0.0,0.0,0.0,0.0,-0.02734375,30000.0,0.0,0.0,0.0,3850.0,0.0,28150.0,0.0
3,3,1,37999.992,0.0,-0.0009765625,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,750.0,0.0,6092.857,0.0
3,3,2,47999.996,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,25000.0,0.0,0.0,0.0,875.0,0.0,7146.4287,0.0
3,3,3,58000.0,0.0,-0.0078125,0.0,0.0,0.0,0.0,-0.02734375,30000.0,0.0,0.0,0.0,3850.0,0.0,28150.0,0.0
