period,scenario,subscenario,subperiod,Solar
1,1,1,1,0.0625
1,1,1,2,1.0
1,1,1,3,0.0625
1,1,2,1,0.0625
1,1,2,2,0.625
1,1,2,3,0.0625
1,1,3,1,0.0625
1,1,3,2,1.0
1,1,3,3,0.0625
1,1,4,1,0.0625
1,1,4,2,0.625
1,1,4,3,0.0625
2,1,1,1,0.0
2,1,1,2,0.75
2,1,1,3,0.0
2,1,2,1,0.0
2,1,2,2,0.375
2,1,2,3,0.0
2,1,3,1,0.0
2,1,3,2,0.75
2,1,3,3,0.0
2,1,4,1,0.0
2,1,4,2,0.375
2,1,4,3,0.0
3,1,1,1,0.0
3,1,1,2,0.75
3,1,1,3,0.0
3,1,2,1,0.0
3,1,2,2,0.375
3,1,2,3,0.0
3,1,3,1,0.0
3,1,3,2,0.75
3,1,3,3,0.0
3,1,4,1,0.0
3,1,4,2,0.375
3,1,4,3,0.0
4,1,1,1,0.0
4,1,1,2,0.75
4,1,1,3,0.0
4,1,2,1,0.0
4,1,2,2,0.375
4,1,2,3,0.0
4,1,3,1,0.0
4,1,3,2,0.75
4,1,3,3,0.0
4,1,4,1,0.0
4,1,4,2,0.375
4,1,4,3,0.0
5,1,1,1,0.0625
5,1,1,2,1.0
5,1,1,3,0.0625
5,1,2,1,0.0625
5,1,2,2,0.625
5,1,2,3,0.0625
5,1,3,1,0.0625
5,1,3,2,1.0
5,1,3,3,0.0625
5,1,4,1,0.0625
5,1,4,2,0.625
5,1,4,3,0.0625
6,1,1,1,0.0625
6,1,1,2,1.0
6,1,1,3,0.0625
6,1,2,1,0.0625
6,1,2,2,0.625
6,1,2,3,0.0625
6,1,3,1,0.0625
6,1,3,2,1.0
6,1,3,3,0.0625
6,1,4,1,0.0625
6,1,4,2,0.625
6,1,4,3,0.0625
