period,scenario,subperiod,bid_segment,Thermal Owner - Island,Price Taker - Island
1,1,1,1,-0.0,-0.0
1,1,1,2,-0.0,-0.0
1,1,1,3,0.0,-0.0
1,1,1,4,0.0,-0.0
1,1,1,5,0.0,0.063355
1,2,1,1,-0.0,-0.0
1,2,1,2,-0.0,-0.0
1,2,1,3,0.0,-0.0
1,2,1,4,0.0,-0.0
1,2,1,5,0.0,0.05184
1,3,1,1,-0.0,-0.0
1,3,1,2,-0.0,-0.0
1,3,1,3,0.0,-0.0
1,3,1,4,0.0,-0.0
1,3,1,5,0.0,0.05184
1,4,1,1,-0.0,-0.0
1,4,1,2,-0.0,-0.0
1,4,1,3,0.0,-0.0
1,4,1,4,0.0,-0.0
1,4,1,5,0.0,0.063355
2,1,1,1,-0.0,-0.0
2,1,1,2,-0.0,-0.0
2,1,1,3,0.0,-0.0
2,1,1,4,0.0,-0.0
2,1,1,5,0.0,0.10368
2,2,1,1,-0.0,-0.0
2,2,1,2,-0.0,-0.0
2,2,1,3,0.0,-0.0
2,2,1,4,0.0,-0.0
2,2,1,5,0.0,0.057605
2,3,1,1,-0.0,-0.0
2,3,1,2,-0.0,-0.0
2,3,1,3,0.0,-0.0
2,3,1,4,0.0,-0.0
2,3,1,5,0.0,0.057605
2,4,1,1,-0.0,-0.0
2,4,1,2,-0.0,-0.0
2,4,1,3,0.0,-0.0
2,4,1,4,0.0,-0.0
2,4,1,5,0.0,0.10368
