period,scenario,subperiod,bid_segment,Thermal Owner - Island,Price Taker - Island
1,1,1,1,10,30
1,1,1,2,100,300
1,1,1,3,0,1000
1,1,1,4,0,3000
1,1,1,5,0,0
1,2,1,1,10,30
1,2,1,2,100,300
1,2,1,3,0,1000
1,2,1,4,0,3000
1,2,1,5,0,0
1,3,1,1,10,30
1,3,1,2,100,300
1,3,1,3,0,1000
1,3,1,4,0,3000
1,3,1,5,0,0
1,4,1,1,10,30
1,4,1,2,100,300
1,4,1,3,0,1000
1,4,1,4,0,3000
1,4,1,5,0,0
2,1,1,1,10,30
2,1,1,2,100,300
2,1,1,3,0,1000
2,1,1,4,0,3000
2,1,1,5,0,0
2,2,1,1,10,30
2,2,1,2,100,300
2,2,1,3,0,1000
2,2,1,4,0,3000
2,2,1,5,0,0
2,3,1,1,10,30
2,3,1,2,100,300
2,3,1,3,0,1000
2,3,1,4,0,3000
2,3,1,5,0,0
2,4,1,1,10,30
2,4,1,2,100,300
2,4,1,3,0,1000
2,4,1,4,0,3000
2,4,1,5,0,0
