period,scenario,subscenario,subperiod,Hydro Upstream,Hydro Downstream
1,1,1,1,80,80
1,1,1,2,80,80
1,1,1,3,80,80
1,1,2,1,80,80
1,1,2,2,80,80
1,1,2,3,80,80
1,1,3,1,80,80
1,1,3,2,80,80
1,1,3,3,80,80
1,1,4,1,80,80
1,1,4,2,80,80
1,1,4,3,80,80
1,2,1,1,77,77
1,2,1,2,23,23
1,2,1,3,80,80
1,2,2,1,68,68
1,2,2,2,32,32
1,2,2,3,80,80
1,2,3,1,80,80
1,2,3,2,20,20
1,2,3,3,80,80
1,2,4,1,63,63
1,2,4,2,37,37
1,2,4,3,80,80
1,3,1,1,10,10
1,3,1,2,0,-0
1,3,1,3,20,20
1,3,2,1,10,10
1,3,2,2,0,-0
1,3,2,3,20,20
1,3,3,1,8.00001,8.00001
1,3,3,2,0,-0
1,3,3,3,22,22
1,3,4,1,8.00001,8.00001
1,3,4,2,0,-0
1,3,4,3,22,22
2,1,1,1,10,10
2,1,1,2,2,2
2,1,1,3,18,18
2,1,2,1,8,8
2,1,2,2,7,7
2,1,2,3,15,15
2,1,3,1,0,0
2,1,3,2,-0,0
2,1,3,3,30,30
2,1,4,1,-0,0
2,1,4,2,12,12
2,1,4,3,18,18
2,2,1,1,10,10
2,2,1,2,2,2
2,2,1,3,18,18
2,2,2,1,8,8
2,2,2,2,7,7
2,2,2,3,15,15
2,2,3,1,-0,0
2,2,3,2,-0,0
2,2,3,3,30,30
2,2,4,1,-0,0
2,2,4,2,12,12
2,2,4,3,18,18
2,3,1,1,10,10
2,3,1,2,2,2
2,3,1,3,18,18
2,3,2,1,8,8
2,3,2,2,7,7
2,3,2,3,15,15
2,3,3,1,-0,0
2,3,3,2,-0,0
2,3,3,3,30,30
2,3,4,1,-0,0
2,3,4,2,12,12
2,3,4,3,18,18
3,1,1,1,10,10
3,1,1,2,2,2
3,1,1,3,18,18
3,1,2,1,8,8
3,1,2,2,7,7
3,1,2,3,15,15
3,1,3,1,0,0
3,1,3,2,-0,0
3,1,3,3,30,30
3,1,4,1,-0,0
3,1,4,2,12,12
3,1,4,3,18,18
3,2,1,1,10,10
3,2,1,2,2,2
3,2,1,3,18,18
3,2,2,1,8,8
3,2,2,2,7,7
3,2,2,3,15,15
3,2,3,1,-0,0
3,2,3,2,-0,0
3,2,3,3,30,30
3,2,4,1,-0,0
3,2,4,2,12,12
3,2,4,3,18,18
3,3,1,1,10,10
3,3,1,2,2,2
3,3,1,3,18,18
3,3,2,1,8,8
3,3,2,2,7,7
3,3,2,3,15,15
3,3,3,1,-0,0
3,3,3,2,-0,0
3,3,3,3,30,30
3,3,4,1,-0,0
3,3,4,2,12,12
3,3,4,3,18,18
4,1,1,1,10,10
4,1,1,2,2,2
4,1,1,3,18,18
4,1,2,1,8,8
4,1,2,2,7,7
4,1,2,3,15,15
4,1,3,1,0,0
4,1,3,2,-0,0
4,1,3,3,30,30
4,1,4,1,-0,0
4,1,4,2,12,12
4,1,4,3,18,18
4,2,1,1,10,10
4,2,1,2,2,2
4,2,1,3,18,18
4,2,2,1,8,8
4,2,2,2,7,7
4,2,2,3,15,15
4,2,3,1,-0,0
4,2,3,2,-0,0
4,2,3,3,30,30
4,2,4,1,-0,0
4,2,4,2,12,12
4,2,4,3,18,18
4,3,1,1,10,10
4,3,1,2,2,2
4,3,1,3,18,18
4,3,2,1,8,8
4,3,2,2,7,7
4,3,2,3,15,15
4,3,3,1,-0,0
4,3,3,2,-0,0
4,3,3,3,30,30
4,3,4,1,-0,0
4,3,4,2,12,12
4,3,4,3,18,18
5,1,1,1,80,80
5,1,1,2,80,80
5,1,1,3,80,80
5,1,2,1,80,80
5,1,2,2,80,80
5,1,2,3,80,80
5,1,3,1,80,80
5,1,3,2,80,80
5,1,3,3,80,80
5,1,4,1,80,80
5,1,4,2,80,80
5,1,4,3,80,80
5,2,1,1,77,77
5,2,1,2,23,23
5,2,1,3,80,80
5,2,2,1,68,68
5,2,2,2,32,32
5,2,2,3,80,80
5,2,3,1,80,80
5,2,3,2,20,5.14281
5,2,3,3,80,80
5,2,4,1,63,63
5,2,4,2,37,37
5,2,4,3,80,80
5,3,1,1,10,10
5,3,1,2,0,-0
5,3,1,3,20,20
5,3,2,1,10,10
5,3,2,2,0,-0
5,3,2,3,20,20
5,3,3,1,8.00001,8.00001
5,3,3,2,0,-0
5,3,3,3,22,22
5,3,4,1,8.00001,8.00001
5,3,4,2,0,-0
5,3,4,3,22,22
6,1,1,1,80,80
6,1,1,2,80,80
6,1,1,3,80,80
6,1,2,1,80,80
6,1,2,2,80,80
6,1,2,3,80,80
6,1,3,1,80,80
6,1,3,2,80,80
6,1,3,3,80,80
6,1,4,1,80,80
6,1,4,2,80,80
6,1,4,3,80,80
6,2,1,1,77,77
6,2,1,2,23,23
6,2,1,3,80,80
6,2,2,1,77,77
6,2,2,2,32,32
6,2,2,3,70.9999,70.9999
6,2,3,1,80,80
6,2,3,2,20,5.14281
6,2,3,3,80,80
6,2,4,1,63,63
6,2,4,2,37,37
6,2,4,3,80,80
6,3,1,1,2.00003,2.00003
6,3,1,2,-0,0
6,3,1,3,28,28
6,3,2,1,2.00003,2.00003
6,3,2,2,-0,0
6,3,2,3,28,28
6,3,3,1,8.00001,8.00001
6,3,3,2,-0,0
6,3,3,3,22,22
6,3,4,1,8.00001,8.00001
6,3,4,2,-0,0
6,3,4,3,22,22
