period,scenario,subperiod,FUNIL-GRANDE,BATALHA,SERRA FACAO,CAPIM BRANC1,CAPIM BRANC2,CORUMBA IV,PIRAJU,ITAIPU,NILO PECANHA,FONTES A,BAGUARI,SAO DOMINGOS,RETIRO BAIXO,TRES MARIAS,QUEIMADO,JAURU,GUAPORE,CORUMBA III,SINOP,COLIDER,TELES PIRES,SAO MANOEL,SLT VERDINHO,OURINHOS,SERRA MESA,CANA BRAVA,SAO SALVADOR,PEIXE ANGIC,ESTRELA,LAJEADO,SALTO,RONDON II,PONTE PEDRA,JIRAU,STO ANTONIO,ESPORA,ITIQUIRA I,ITIQUIRA II,JURUENA,DARDANELOS,CACU,B. COQUEIROS,FOZ R. CLARO,GUARAPIRANGA,BILLINGS,HENRY BORDEN,JAGUARI,PARAIBUNA,SANTA BRANCA,FUNIL,LAJES,PICADA,SOBRAGI,SIMPLICIO,ILHA POMBOS,P. PASSOS,BARRA BRAUNA,SALTO GRANDE,P. ESTRELA,CANDONGA,AIMORES,MASCARENHAS,GUILMAN-AMOR,SA CARVALHO,ROSAL,SAMUEL,IRAPE,STA CLARA MG,CAMARGOS,ITUTINGA,FURNAS,M. DE MORAES,ESTREITO,JAGUARA,IGARAPAVA,VOLTA GRANDE,P. COLOMBIA,CACONDE,E. DA CUNHA,A.S.OLIVEIRA,MARIMBONDO,A. VERMELHA,I. SOLTEIRA,EMBORCACAO,NOVA PONTE,MIRANDA,CORUMBA I,ITUMBIARA,CACH.DOURADA,SAO SIMAO,BARRA BONITA,A.S. LIMA,IBITINGA,PROMISSAO,NAVANHANDAVA,TRES IRMAOS,JUPIA,P. PRIMAVERA,MANSO,A.A. LAYDNER,CHAVANTES,L.N. GARCEZ,CANOAS II,CANOAS I,CAPIVARA,TAQUARUCU,ROSANA,CALHA-CEDAE,FONTES BC,VIGARIO,SANTANA,STA. CECILIA,TOCOS,MAUA,STA CLARA PR,FUNDAO,G.B. MUNHOZ,BAIXO IGUACU,BARRA GRANDE,SAO ROQUE,GARIBALDI,CAMPOS NOVOS,MACHADINHO,ITA,PASSO FUNDO,MONJOLINHO,QUEBRA QUEIX,SAO JOSE,PASSO S JOAO,FOZ CHAPECO,CASTRO ALVES,MONTE CLARO,14 DE JULHO,ERNESTINA,PASSO REAL,JACUI,ITAUBA,D. FRANCISCA,G.P. SOUZA,SALTO PILAO,JORDAO,SEGREDO,SLT.SANTIAGO,SALTO OSORIO,SALTO CAXIAS,SOBRADINHO,ITAPARICA,COMP PAF-MOX,XINGO,ITAPEBI,P. CAVALO,B. ESPERANCA,CACH.CALDEIR,ESTREITO TOC,TUCURUI,BALBINA,COARACY NUNE,FERREIRA GOM,STO ANT JARI,PIMENTAL,CURUA-UNA,BELO MONTE
1,1,1,286.540791,154.0,13.0,470.211144,476.025365,194.115844,65.791031,12530.330056,0.0,0.0,233.233254,97.241638,86.905428,906.0,0.0,83.05706,0.0,282.083004,272.0,332.454298,899.922214,915.806837,45.020257,353.362994,1020.91921,1087.347298,1124.551474,727.519719,0.0,903.582554,31.441126,33.0,0.0,7776.005556,7889.992769,72.0,44.123796,0.0,0.0,45.382417,146.803931,150.438171,152.987885,0.0,0.0,0.0,56.494168,128.0,142.0,141.485085,-0.0,0.0,41.744331,134.903489,146.0,120.0,50.145172,39.146555,78.932382,0.0,278.736946,314.67526,30.875789,37.379012,0.0,9.0,0.0,26.911735,214.0,213.358718,1506.0,1068.627059,1074.607374,1075.075243,1089.275728,1116.897589,1178.927574,93.0,108.205635,109.232297,2680.0,2958.0,7900.10672,0.0,514.434297,479.823533,576.0,2411.487751,2435.224148,2652.0,632.526118,657.516762,735.0,1143.675561,1174.882228,165.0,8316.0,9000.388571,37.0,55.0,353.032616,497.535916,511.028771,537.001677,1584.0,1667.626829,1815.436725,-0.0,0.0,48.765633,165.15813,160.0,0.473708,336.0,144.34224,144.20408,1106.339131,2204.839124,0.0,330.0,451.618475,0.0,1296.0,1590.0,0.0,135.72229,116.722434,174.065069,184.288732,1898.417985,129.486115,226.950745,235.246296,0.0,308.107064,226.400286,343.082559,370.0,0.0,0.0,158.300647,1292.0,1540.0,1854.0,2100.941076,207.0,287.607504,284.0,0.0,38.0,32.03135,630.0,653.653198,1632.761021,4069.520834,19.0,400.0,447.61063,1342.737559,900.0,252.0,347.615704
1,1,2,282.933287,154.0,13.0,470.211144,476.025365,18.0,62.183527,10063.892799,0.0,0.0,184.261933,97.241638,58.552971,906.0,0.0,83.05706,0.0,185.640212,272.0,328.846794,892.707207,904.984326,37.80525,349.75549,1013.704203,1083.739794,1124.551474,1954.044458,0.0,2132.481463,27.833622,33.0,0.0,7772.398052,7886.385265,72.0,40.516293,0.0,0.0,41.774914,90.50045,71.053147,77.210365,0.0,0.0,0.0,56.494168,128.0,142.0,128.288405,-0.0,0.0,44.1185,131.295985,146.0,120.0,50.145172,35.539051,37.176069,0.0,229.765626,262.096437,27.268286,30.164005,0.0,9.0,0.0,23.304232,214.0,213.358718,1116.365978,1061.412052,1070.99987,1075.075243,1085.668225,1109.682581,1168.105063,93.0,104.598131,107.998963,1479.194125,1299.469307,5442.117805,0.0,456.987876,467.909939,576.0,2407.880247,2435.224148,2652.0,253.739334,275.122474,354.979881,160.0,187.599163,165.0,5860.385254,6541.166321,37.0,55.0,345.817609,497.535916,507.421267,529.78667,1584.0,1664.019325,1808.221718,-0.0,0.0,42.783961,162.783961,160.0,4.081212,336.0,140.734737,144.20408,1075.29087,2201.231621,0.0,330.0,354.152386,0.0,1296.0,1590.0,0.0,135.72229,116.722434,170.457565,177.073725,1898.417985,129.486115,226.950745,235.246296,0.0,297.284553,226.400286,339.475056,370.0,0.0,0.0,164.853959,1292.0,1540.0,1854.0,2097.333572,207.0,283.147198,284.0,0.0,38.0,3.0,630.0,656.027367,2864.034099,2105.525827,19.0,400.0,794.002201,1428.813829,900.0,252.0,985.441458
1,1,3,281.372738,154.0,13.0,470.211144,475.24509,18.0,60.622978,4718.316244,0.0,0.0,179.580285,85.65456,26.663146,906.0,0.0,82.292391,0.0,24.532079,272.0,327.286245,889.586108,900.302678,34.684152,348.194941,1010.583105,1082.179245,1124.551474,914.688605,0.0,1089.190891,26.273073,33.0,0.0,6602.867778,6556.508549,72.0,38.955743,0.0,0.0,40.214364,65.773546,47.282233,55.0,0.0,0.0,0.0,56.494168,128.0,142.0,128.32175,0.0,0.0,39.403507,129.735436,146.0,120.0,49.364897,33.978502,35.61552,0.0,225.083978,255.854239,25.707736,27.042906,0.0,9.0,0.0,21.743682,212.659792,213.358718,266.819891,1058.290953,1069.439321,1075.075243,1084.107676,1106.561483,1163.423415,93.0,103.037582,102.503695,251.032494,364.0,1450.0,0.0,456.987876,467.909939,576.0,2406.319698,2435.224148,2652.0,91.0,110.822591,186.74528,160.0,186.038614,165.0,1864.332731,2531.96617,37.0,55.0,342.69651,497.535916,505.860718,526.665571,1584.0,1662.458776,1805.100619,0.0,0.0,45.15813,166.718679,160.0,5.641761,276.864386,139.174188,144.20408,1050.9223,2199.671071,0.0,330.0,354.152386,0.0,1294.714454,1590.0,0.0,135.72229,116.722434,168.897016,173.952627,1898.417985,129.486115,226.950745,235.246296,0.0,292.602905,226.400286,337.914506,370.0,0.0,0.0,173.5,1292.0,1540.0,1854.0,2095.773023,207.0,283.0,284.0,0.0,38.0,3.0,630.0,652.092649,1816.808809,2000.0,19.0,400.0,561.401326,1372.193232,900.0,252.0,649.083127
1,2,1,109.740196,154.0,13.0,470.211144,473.404299,134.355271,346.859405,12955.312809,0.0,0.0,270.393817,77.0,25.395747,906.0,0.0,71.444885,0.0,180.785463,272.0,311.904491,510.675564,515.920414,40.478018,374.029833,1009.129064,1091.222214,1124.551474,650.953992,0.0,711.010158,33.577797,33.0,0.0,11958.642879,12171.986034,72.0,39.222721,0.0,0.0,63.056885,180.2779,184.83448,189.4729,0.0,0.0,0.0,56.494168,128.0,142.0,166.163926,-0.0,0.0,32.0911,135.281496,146.0,120.0,45.701305,46.347382,86.627819,0.0,590.201068,656.664645,25.518988,28.216819,0.0,9.0,0.0,50.375893,34.0,34.0,885.735796,1061.167592,1071.430742,1075.075243,1089.207992,1127.204742,1210.686104,8.0,31.330107,28.672196,2680.0,2958.0,7433.235403,0.0,502.692374,479.288263,470.585122,2372.692814,2435.224148,1942.296521,571.669184,613.204071,735.0,1226.179891,1247.992758,165.0,7954.384725,9100.0,37.0,345.526698,373.622128,497.535916,504.458153,519.948527,1584.0,1636.845387,1791.208317,-0.0,0.0,47.918451,164.310947,160.0,0.709255,336.0,145.844944,144.20408,1073.87973,2071.815344,0.0,330.0,453.759203,0.0,1176.74521,1590.0,0.0,135.72229,96.062789,271.588634,299.407019,1898.417985,159.0,367.596119,332.292151,0.0,197.70234,196.405208,305.809271,370.0,0.0,0.0,158.977174,1292.0,1540.0,1854.0,2011.404485,207.0,287.607504,284.0,0.0,646.139409,3.0,240.0,818.018168,1372.200811,2000.0,19.0,400.0,608.368096,1075.417369,900.0,66.053289,984.393658
1,2,2,109.740196,154.0,13.0,470.211144,476.395135,18.0,346.859405,10551.324852,0.0,0.0,232.245007,102.189587,119.278771,906.0,0.0,71.444885,0.0,21.0,272.0,311.904491,510.675564,515.920414,46.459691,370.42233,1001.914057,1087.61471,1124.551474,1877.478731,0.0,1943.516569,33.577797,33.0,0.0,11958.642879,12171.986034,72.0,39.222721,0.0,0.0,63.056885,123.974419,128.530999,139.151091,0.0,0.0,0.0,56.494168,128.0,142.0,146.368906,-0.0,0.0,41.063609,131.673992,146.0,120.0,45.701305,46.347382,48.479009,0.0,552.052258,618.515836,25.518988,28.216819,0.0,9.0,0.0,50.375893,34.0,34.0,406.925453,1053.952585,1067.823238,1075.075243,1095.189665,1133.186415,1216.667776,8.0,31.330107,34.653869,2680.0,2528.87595,4626.985031,0.0,445.245953,467.37467,120.0,448.621822,511.153156,1440.357454,399.081869,437.009252,558.805181,241.258065,269.052604,533.716986,5519.225509,6696.012043,37.0,339.545025,366.407121,497.535916,510.439826,531.911872,1584.0,1636.845387,1791.208317,-0.0,0.0,41.936778,161.936778,160.0,4.316759,336.0,142.23744,144.20408,1049.38478,2068.20784,0.0,330.0,356.293114,0.0,1124.740723,1590.0,0.0,135.72229,52.448071,271.588634,299.407019,1898.417985,159.0,367.596119,332.292151,0.0,186.87983,189.190201,302.201767,370.0,0.0,0.0,158.977174,1292.0,1540.0,1854.0,2007.796982,207.0,283.147198,284.0,0.0,646.139409,3.0,240.0,823.99984,2610.688895,2000.0,19.0,400.0,961.974674,1161.493638,900.0,252.0,1622.219412
1,2,3,109.740196,154.0,13.0,470.211144,474.427776,72.797539,346.859405,5848.734558,0.0,0.0,232.245007,80.604579,38.872801,906.0,0.0,70.680216,0.0,21.0,272.0,311.904491,510.675564,515.920414,44.085522,368.861781,998.792959,1086.054161,1124.551474,838.122877,0.0,901.786547,33.577797,33.0,0.0,10790.673154,10843.669867,72.0,39.222721,0.0,0.0,63.056885,99.247515,66.506967,74.75289,0.0,0.0,0.0,56.494168,128.0,142.0,146.028786,0.0,0.0,36.722081,130.113443,146.0,120.0,44.921031,46.347382,48.479009,0.0,552.052258,618.515836,25.518988,28.216819,0.0,9.0,0.0,50.375893,34.0,34.0,131.0,1050.831486,1066.262689,1075.075243,1092.815496,1130.812246,1214.293607,8.0,31.330107,32.2797,294.965886,364.0,1450.0,0.0,321.291521,457.340338,120.0,70.0,132.531334,2652.0,91.0,127.366834,249.162763,380.577741,405.998111,369.260924,2173.849698,3326.677055,37.0,341.919194,363.286022,497.535916,508.065657,527.163534,1584.0,1636.845387,1791.208317,0.0,0.0,44.310947,165.871496,160.0,5.877308,336.0,119.229427,122.756616,1051.325378,2041.20692,0.0,330.0,356.293114,0.0,1123.180173,1590.0,0.0,135.72229,52.448071,271.588634,299.407019,1898.417985,159.0,367.596119,332.292151,0.0,182.198182,186.069102,300.641218,370.0,0.0,0.0,157.036576,1292.0,1540.0,1828.559629,1980.796061,207.0,283.0,284.0,0.0,646.139409,3.0,240.0,821.625671,1566.584704,2000.0,19.0,400.0,732.494897,1104.873041,900.0,66.365711,1285.861081
1,3,1,277.006682,154.0,13.0,470.211144,476.831477,138.985082,57.530344,11944.827302,0.0,0.0,251.847502,105.139069,84.496957,906.0,0.0,73.201775,0.0,282.083004,272.0,312.376913,490.365047,495.305859,42.005847,456.529875,1000.194693,1086.66594,1124.551474,1210.961379,0.0,1333.403312,34.668384,33.0,0.0,8198.983194,8329.526163,72.0,49.522878,0.0,0.0,67.257654,149.598403,153.768186,161.244588,0.0,0.0,0.0,56.494168,128.0,142.0,181.694368,-0.0,0.0,32.706335,135.877026,146.0,120.0,44.151009,46.331304,85.900575,0.0,303.102156,337.380278,32.261806,38.001798,0.0,9.0,0.0,29.707638,214.0,213.358718,1506.0,1068.570611,1074.123905,1075.075243,1089.777516,1114.518046,1171.851107,93.0,106.418047,107.439182,2680.0,2958.0,7879.487823,0.0,502.214057,478.699503,576.0,2395.135652,2435.224148,2652.0,613.191603,638.870682,735.0,1057.076002,1092.896601,165.0,8316.0,8819.689016,37.0,55.0,457.583654,497.535916,497.091044,501.224876,1584.0,1629.902181,1680.170513,-0.0,0.0,47.892374,164.284871,160.0,1.566733,336.0,143.452591,144.20408,1014.159783,2314.899099,0.0,330.0,516.633409,0.0,1296.0,1590.0,0.0,135.72229,116.722434,237.064245,241.756641,1898.417985,159.0,367.596119,332.292151,0.0,227.016478,226.400286,309.195162,370.0,0.0,0.0,161.624077,1292.0,1540.0,1854.0,2172.01882,207.0,283.0,284.0,0.0,67.181446,3.0,630.0,539.823629,1777.030305,2000.0,19.0,400.0,539.823629,1401.809825,900.0,252.0,392.283569
1,3,2,277.006682,154.0,13.0,470.211144,475.644393,18.0,57.530344,10180.678786,0.0,0.0,202.876182,105.139069,56.144501,906.0,0.0,73.201775,0.0,154.560144,272.0,308.769409,483.15004,488.090851,42.005847,452.922372,992.979685,1083.058436,1124.551474,1511.212834,0.0,1636.028936,31.060881,33.0,0.0,8198.983194,8329.526163,72.0,45.915375,0.0,0.0,63.65015,55.676213,59.845997,67.322398,0.0,0.0,0.0,56.494168,128.0,142.0,168.451438,-0.0,0.0,35.126754,132.269523,146.0,120.0,44.151009,42.723801,44.144262,0.0,254.130836,288.408958,28.654303,30.786791,0.0,9.0,0.0,26.100134,212.936677,213.358718,1146.726282,1061.355604,1070.516401,1075.075243,1086.170012,1110.910542,1165.869434,93.0,102.810543,101.457509,1912.462347,1752.085738,6123.787649,0.0,444.767635,466.78591,576.0,2391.528149,2435.224148,2652.0,110.772723,132.844299,228.973617,160.0,195.820599,165.0,6562.673995,7062.755507,37.0,55.0,450.368647,497.535916,503.072717,510.814052,1584.0,1626.294678,1672.955505,-0.0,0.0,44.284871,164.284871,160.0,5.174237,254.891606,137.470918,144.20408,954.814473,2311.291595,0.0,330.0,516.633409,0.0,1296.0,1590.0,0.0,108.791272,116.722434,233.456741,235.774968,1898.417985,159.0,367.596119,332.292151,0.0,221.034805,226.400286,309.136248,370.0,0.0,0.0,161.624077,1292.0,1540.0,1854.0,2168.411316,207.0,283.0,284.0,0.0,69.555615,3.0,630.0,536.216125,2085.637602,2000.0,19.0,400.0,538.590295,1487.886094,900.0,252.0,392.283569
1,3,3,277.006682,154.0,13.0,470.211144,476.831477,192.529894,57.530344,4153.432386,0.0,0.0,198.194534,93.55199,24.254676,906.0,0.0,72.437105,0.0,21.0,272.0,307.20886,480.028941,484.969753,42.005847,451.361823,989.858587,1081.497887,1124.551474,839.501532,0.0,960.382915,29.500331,33.0,0.0,7031.013469,7001.209996,72.0,44.354825,0.0,0.0,62.089601,93.294922,60.167576,67.643978,0.0,0.0,0.0,56.494168,128.0,142.0,161.022156,0.0,0.0,37.874388,130.708973,146.0,120.0,43.370734,41.163251,42.583712,0.0,249.449188,283.72731,27.093753,27.665692,0.0,9.0,0.0,24.539585,213.358718,213.358718,1028.113595,1058.234506,1068.955852,1075.075243,1084.609463,1109.349993,1168.243603,93.0,101.249994,103.831679,245.0,364.0,1450.0,0.0,444.767635,466.78591,576.0,2389.967599,2435.224148,2652.0,91.0,111.511026,207.640344,160.0,195.820599,165.0,1884.951627,2371.885512,37.0,55.0,447.247548,497.535916,500.698548,510.000432,1584.0,1624.734128,1669.834407,0.0,0.0,42.724321,164.284871,160.0,6.734786,72.185049,135.910954,140.269947,1016.506226,2309.731046,0.0,330.0,516.633409,0.0,1296.0,1590.0,0.0,125.031808,116.722434,231.896192,238.149137,1898.417985,159.0,367.596119,332.292151,0.0,220.342326,223.333637,306.167238,370.0,0.0,0.0,157.689943,1292.0,1540.0,1854.0,2166.850767,207.0,285.089888,284.0,0.0,65.620897,3.0,630.0,534.655576,1407.617412,2000.0,19.0,400.0,443.964253,1431.265497,900.0,252.0,309.082883
1,4,1,270.144444,154.0,13.0,470.211144,471.131703,224.221862,346.859405,11382.783425,0.0,0.0,307.477177,93.912231,70.627885,906.0,0.0,72.061516,0.0,282.083004,1387.775228,1433.362956,1923.041901,1935.244346,40.180807,380.112628,1087.112343,1103.166956,1124.551474,1736.497461,0.0,1953.455672,27.742422,33.0,0.0,6788.106773,6895.224609,72.0,43.555238,0.0,0.0,37.078577,131.792144,134.299586,142.124187,0.0,0.0,0.0,56.494168,128.0,142.0,137.528228,-0.0,0.0,39.672121,126.264976,188.590497,120.0,56.908447,71.407385,112.353509,0.0,358.576138,403.753638,32.836023,39.492176,0.0,9.0,0.0,34.078905,213.358718,213.358718,1506.0,1069.225369,1075.17854,1075.075243,1088.802178,1114.37097,1170.062153,93.0,105.096906,109.671588,2680.0,2958.0,6369.560845,0.0,520.767413,481.689391,576.0,2429.73687,2435.224148,2652.0,210.626834,238.506962,298.451563,1224.785446,1247.992758,1767.779356,8316.0,8647.78388,37.0,345.881467,381.236652,497.535916,510.425769,531.052315,1584.0,1609.526853,1678.802524,-0.0,0.0,42.979377,159.371873,160.0,0.285261,336.0,144.765725,144.20408,1129.041932,1707.416772,0.0,330.0,445.720844,0.0,1296.0,1402.826811,0.0,135.72229,69.573558,58.703329,64.144123,1595.891542,56.032898,114.893223,118.958831,0.0,349.365791,226.400286,356.919767,370.0,0.0,0.0,156.539953,1292.0,1540.0,1575.072101,1668.779794,2089.326425,1665.66553,1662.058027,0.0,646.139409,170.880837,630.0,556.676717,2609.497563,2086.34475,1243.805872,400.0,560.284221,811.240967,900.0,252.0,629.43396
