period,scenario,subperiod,FUNIL-GRANDE,BATALHA,SERRA FACAO,CAPIM BRANC1,CAPIM BRANC2,CORUMBA IV,PIRAJU,ITAIPU,NILO PECANHA,FONTES A,BAGUARI,SAO DOMINGOS,RETIRO BAIXO,TRES MARIAS,QUEIMADO,JAURU,GUAPORE,CORUMBA III,SINOP,COLIDER,TELES PIRES,SAO MANOEL,SLT VERDINHO,OURINHOS,SERRA MESA,CANA BRAVA,SAO SALVADOR,PEIXE ANGIC,ESTRELA,LAJEADO,SALTO,RONDON II,PONTE PEDRA,JIRAU,STO ANTONIO,ESPORA,ITIQUIRA I,ITIQUIRA II,JURUENA,DARDANELOS,CACU,B. COQUEIROS,FOZ R. CLARO,GUARAPIRANGA,BILLINGS,HENRY BORDEN,JAGUARI,PARAIBUNA,SANTA BRANCA,FUNIL,LAJES,PICADA,SOBRAGI,SIMPLICIO,ILHA POMBOS,P. PASSOS,BARRA BRAUNA,SALTO GRANDE,P. ESTRELA,CANDONGA,AIMORES,MASCARENHAS,GUILMAN-AMOR,SA CARVALHO,ROSAL,SAMUEL,IRAPE,STA CLARA MG,CAMARGOS,ITUTINGA,FURNAS,M. DE MORAES,ESTREITO,JAGUARA,IGARAPAVA,VOLTA GRANDE,P. COLOMBIA,CACONDE,E. DA CUNHA,A.S.OLIVEIRA,MARIMBONDO,A. VERMELHA,I. SOLTEIRA,EMBORCACAO,NOVA PONTE,MIRANDA,CORUMBA I,ITUMBIARA,CACH.DOURADA,SAO SIMAO,BARRA BONITA,A.S. LIMA,IBITINGA,PROMISSAO,NAVANHANDAVA,TRES IRMAOS,JUPIA,P. PRIMAVERA,MANSO,A.A. LAYDNER,CHAVANTES,L.N. GARCEZ,CANOAS II,CANOAS I,CAPIVARA,TAQUARUCU,ROSANA,CALHA-CEDAE,FONTES BC,VIGARIO,SANTANA,STA. CECILIA,TOCOS,MAUA,STA CLARA PR,FUNDAO,G.B. MUNHOZ,BAIXO IGUACU,BARRA GRANDE,SAO ROQUE,GARIBALDI,CAMPOS NOVOS,MACHADINHO,ITA,PASSO FUNDO,MONJOLINHO,QUEBRA QUEIX,SAO JOSE,PASSO S JOAO,FOZ CHAPECO,CASTRO ALVES,MONTE CLARO,14 DE JULHO,ERNESTINA,PASSO REAL,JACUI,ITAUBA,D. FRANCISCA,G.P. SOUZA,SALTO PILAO,JORDAO,SEGREDO,SLT.SANTIAGO,SALTO OSORIO,SALTO CAXIAS,SOBRADINHO,ITAPARICA,COMP PAF-MOX,XINGO,ITAPEBI,P. CAVALO,B. ESPERANCA,CACH.CALDEIR,ESTREITO TOC,TUCURUI,BALBINA,COARACY NUNE,FERREIRA GOM,STO ANT JARI,PIMENTAL,CURUA-UNA,BELO MONTE
1,1,1,306.0,1422.635664,3090.8148,234.525104,878.0,3695.96616,86.0,27695.2,38.0,467.0,31.42,116.45,216.438602,17575.4716,484.828475,16.17,23.0,889.8651,2342.79656,1527.0,899.22,579.22,266.48,20.82,46796.65,2300.0,952.0,2408.6993,0.0,4942.0,828.06,389.02056,199.0,1249.83,2077.3,209.0,7.0,1.0,0.0,2.12,226.97465,300.0,95.33,134.924629,986.890904,1.0,1204.9937,4144.6992,260.206,525.605,424.775292,6.0,3.0,126.5,8.0,19.0,33.0,80.0,77.1497,27.12,156.55,23.68,14.0,3.0,11.0,2753.114037,5065.79686,148.0,717.744,11.0,22879.4103,3683.5,1423.0,450.0,482.0,2246.0,1526.0,511.656,16.0,27.0,5145.866,10869.93,19973.91136,15146.44,10594.554,1094.7566,1452.826,16816.5274,460.0,11836.42,3011.832,546.0,987.0,7229.248,2722.0,12723.588,3356.0,14402.0,6802.5739,6214.5345,8549.5913,45.0,153.0,214.0,10457.5744,679.0,1920.0,-0.0,38.0,38.0,12.0,6.0,2.0,2121.064,427.856,35.0,5725.73,178.7,4871.5601,795.67,286.0352,1473.86,3252.0576,5100.0,1577.066,150.48,135.18,188.33,104.4,1427.5,87.0,10.1,49.31,259.0,2659.3777,29.0,620.0,330.0,175.1,0.12,110.0,2936.42,6552.4867,1124.0,3575.0,26771.0022,10547.1224,1226.0,3800.0,1634.889416,3049.22,4987.8704,232.56,5402.0,46369.0036,18761.61913,24.57,139.31,104.61,2169.66,561.0094,2169.66
1,1,2,304.0,1361.421306,3180.027545,241.13,878.0,3609.612397,84.0,27695.2,38.0,467.0,31.42,116.45,200.72,17162.825512,495.634997,16.17,21.0,844.717491,2479.912024,1525.0,897.22,577.22,264.48,22.82,46374.048572,2302.0,954.0,2741.0,0.0,4942.0,826.06,400.997636,199.0,1249.83,2077.3,193.274443,5.0,1.0,0.0,0.12,195.76,300.0,97.33,137.850237,990.822229,1.0,1185.837184,4096.565031,255.297493,592.580492,426.031665,6.0,3.0,128.5,10.0,17.0,33.0,78.0,56.0,27.12,156.55,21.68,12.0,1.0,11.0,2821.935095,5072.38444,146.0,635.733456,11.355527,22322.417144,3952.860994,1425.0,452.0,480.0,2244.0,1524.0,471.790705,14.0,27.0,4507.9789,10778.435986,18956.890121,15191.115012,10388.347763,1120.0,1334.530543,16171.405453,462.0,11839.217233,2789.697832,544.0,987.0,7045.482388,2720.0,13292.270513,3356.0,14400.0,6823.845891,6317.02799,8451.180965,47.0,151.0,212.0,10214.238159,677.0,1918.0,0.0,38.0,38.0,12.0,8.0,4.0,2108.675238,391.926627,37.0,5502.006512,178.7,4635.144719,715.108555,232.0,1320.0,3340.0,5100.0,1534.024024,152.48,131.806968,186.33,102.4,1427.841026,87.0,10.1,49.31,259.0,2608.01945,31.0,622.0,332.0,154.12891,0.12,110.0,2950.0,6349.129198,1124.0,3573.0,27520.774668,10502.4336,1228.0,3800.0,1634.0,3054.005056,4759.936558,232.56,5402.0,46022.530306,18986.291794,138.8,139.31,133.39,2276.29,522.29184,2276.29
1,1,3,304.0,1268.407282,3315.584574,241.13,878.0,3626.759522,84.0,27695.2,38.0,467.0,31.42,116.45,200.72,16511.933711,512.055296,16.17,21.0,709.0,2688.256301,1525.0,897.22,577.22,264.48,22.82,45737.991858,2302.0,954.0,2212.7,0.0,4940.0,826.06,419.196569,199.0,1249.83,2077.3,169.379766,5.0,1.0,0.0,0.12,195.76,319.443892,97.33,142.29564,996.795801,1.0,1156.729232,4023.426099,247.839112,705.46533,430.979659,6.0,1.0,128.5,10.0,17.0,33.0,78.0,56.0,27.12,156.55,21.68,12.0,1.0,11.0,2926.507353,5081.042688,146.0,511.120033,11.895743,21801.265633,4040.0,1425.0,452.0,480.0,2244.0,1524.0,411.216167,14.0,25.0,4540.124903,11025.0,18015.096862,15258.997823,10123.414269,1120.0,1073.539491,15194.194182,462.0,11843.467573,2771.259278,544.0,985.0,7274.773466,2720.0,13324.685258,3354.0,14400.0,6856.168267,6472.764852,8304.687338,47.0,151.0,212.0,9838.415559,677.0,1918.0,0.0,38.0,38.0,14.0,8.0,4.0,2089.850755,340.371605,37.0,5188.218085,178.7,4093.65021,592.69701,232.0,1320.0,3340.0,5100.0,1471.661542,152.48,126.681711,186.33,102.4,1428.359209,87.0,10.1,49.31,259.0,2539.098473,31.0,622.0,332.0,163.993037,0.12,104.47949,2950.0,6038.131435,1126.0,3573.0,28660.039328,10438.2872,1227.2816,3800.0,1634.0,3085.731864,4413.595526,230.56,5400.0,48187.764719,19327.67753,24.57,137.31,104.61,2169.66,463.461262,2169.66
1,2,1,304.0,1422.635664,3090.8148,234.525104,878.0,3695.96616,84.0,27695.2,38.0,467.0,31.42,116.45,216.438602,17575.4716,484.828475,16.17,21.0,889.8651,2342.79656,1525.0,897.22,577.22,264.48,20.82,46796.65,2300.0,952.0,2408.6993,0.0,4940.0,826.06,389.02056,199.0,1249.83,2077.3,209.0,5.0,1.0,0.0,0.12,226.97465,300.0,95.33,134.924629,986.890904,1.0,1204.9937,4144.6992,260.206,525.605,424.775292,6.0,1.0,126.5,8.0,19.0,33.0,78.0,77.1497,27.12,156.55,21.68,12.0,1.0,11.0,2753.114037,5065.79686,146.0,717.744,11.0,22879.4103,3683.5,1423.0,450.0,480.0,2244.0,1524.0,511.656,14.0,25.0,5145.866,10869.93,19973.91136,15146.44,10594.554,1094.7566,1452.826,16816.5274,462.0,11836.42,3011.832,546.0,987.0,7229.248,2720.0,12723.588,3356.0,14400.0,6802.5739,6214.5345,8549.5913,45.0,151.0,212.0,10457.5744,677.0,1918.0,-0.0,38.0,38.0,12.0,6.0,2.0,2121.064,427.856,35.0,5725.73,178.7,4871.5601,795.67,286.0352,1473.86,3252.0576,5100.0,1577.066,150.48,135.18,186.33,102.4,1427.5,87.0,10.1,49.31,259.0,2659.3777,29.0,620.0,330.0,175.1,0.12,110.0,2936.42,6552.4867,1124.0,3575.0,26771.0022,10547.1224,1226.0,3800.0,1634.0,3049.22,4987.8704,230.56,5400.0,46369.0036,18761.61913,24.57,137.31,104.61,2169.66,561.0094,2169.66
1,2,2,304.0,1370.255237,3182.636754,241.13,879.0,3661.838553,86.0,27695.2,38.0,467.0,31.42,124.872255,241.59,17154.030901,500.433789,16.17,21.0,873.235718,2412.33104,1525.0,897.22,577.22,266.48,22.82,46360.445605,2302.0,954.0,2741.0,0.0,4942.0,826.06,396.746315,199.0,1249.83,2077.3,201.737547,5.0,1.0,0.0,0.12,195.76,300.0,97.33,135.476856,989.272757,1.0,1180.982835,4094.240372,254.180448,575.82949,425.625287,7.0,3.0,128.5,10.0,17.0,33.0,78.0,56.0,27.12,156.55,21.68,12.0,1.0,11.0,2770.969901,4797.986278,146.0,730.987292,11.0,22610.318166,3600.245884,1425.0,452.0,482.0,2244.0,1524.0,520.433382,14.0,27.0,4717.015246,10771.7685,18821.599062,15211.409596,10384.753635,1120.0,1378.706364,16067.084685,462.0,12540.0,2879.72211,544.0,987.0,7029.794332,2722.0,13370.338222,3356.0,14402.0,6822.542993,6137.711773,8566.721691,47.0,153.0,214.0,10199.84356,677.0,1918.0,0.0,38.0,38.0,12.0,8.0,4.0,1993.093898,366.586063,37.0,5313.908778,178.7,4834.680955,779.659754,232.0,1320.0,3340.0,5102.0,1561.395001,152.48,111.0,186.33,102.4,1448.7775,87.0,10.1,49.31,259.0,2700.685758,31.0,622.0,332.0,171.796026,0.12,110.0,2950.0,6318.873828,1124.0,3573.0,27558.677573,10502.4336,1228.0,3800.0,1634.0,3053.209567,5002.157231,232.56,5402.0,46714.531576,18911.603195,138.8,139.31,133.39,2276.29,602.0,2276.29
1,2,3,304.0,1290.6642,3322.158425,241.13,878.0,3708.0,84.0,27695.2,38.0,467.0,31.42,116.45,200.72,16592.747029,520.925378,16.17,21.0,884.553289,2517.987327,1525.0,897.22,577.22,264.48,22.82,45703.719446,2302.0,954.0,2212.7,0.0,4940.0,826.06,408.485449,199.0,1249.83,2077.3,190.702391,5.0,1.0,0.0,0.12,195.76,300.0,95.33,136.315955,992.891935,1.0,1144.498793,4017.569166,245.024739,668.819949,429.955798,6.0,1.0,128.5,10.0,17.0,33.0,78.0,56.0,27.12,156.55,21.68,12.0,1.0,11.0,2798.101538,4391.053315,146.0,751.110216,11.0,22604.787744,3076.470965,1425.0,452.0,480.0,2244.0,1524.0,533.770442,14.0,25.0,4075.462802,10984.108112,18612.988587,15310.129631,10114.358933,1120.0,1426.812653,16256.345057,462.0,12411.07217,2824.371261,544.0,987.0,7408.0,2720.0,13217.796211,3354.0,14400.0,6852.88564,6026.020097,8598.828909,47.0,151.0,212.0,9818.304493,677.0,1918.0,0.0,38.0,38.0,14.0,8.0,4.0,1798.645822,276.526549,37.0,4708.788999,178.7,4640.18645,755.332498,232.0,1320.0,3340.0,5102.0,1540.622185,152.48,111.0,186.33,102.4,1440.338627,87.0,10.1,49.31,259.0,2772.56943,31.0,622.0,332.0,174.653195,0.12,110.0,2950.0,5961.903621,1126.0,3573.0,28758.755338,10438.2872,1227.2816,3800.0,1634.0,3059.271637,5023.865793,230.56,5400.0,48282.856966,19139.501059,24.57,137.31,104.61,2169.66,507.642909,2169.66
1,3,1,304.0,1422.635664,3090.8148,234.525104,878.0,3695.96616,84.0,27695.2,38.0,467.0,31.42,116.45,216.438602,17575.4716,484.828475,16.17,21.0,889.8651,2342.79656,1527.0,899.22,577.22,264.48,20.82,46796.65,2300.0,952.0,2408.6993,0.0,4942.0,828.06,389.02056,199.0,1249.83,2077.3,209.0,7.0,1.0,0.0,2.12,226.97465,300.0,95.33,134.924629,986.890904,1.0,1204.9937,4144.6992,260.206,525.605,424.775292,6.0,1.0,126.5,8.0,19.0,33.0,80.0,77.1497,27.12,156.55,21.68,14.0,3.0,11.0,2753.114037,5065.79686,148.0,717.744,11.0,22879.4103,3683.5,1423.0,450.0,482.0,2244.0,1524.0,511.656,16.0,25.0,5145.866,10869.93,19973.91136,15146.44,10594.554,1094.7566,1452.826,16816.5274,460.0,11836.42,3011.832,546.0,987.0,7229.248,2720.0,12723.588,3356.0,14402.0,6802.5739,6214.5345,8549.5913,45.0,151.0,212.0,10457.5744,679.0,1920.0,-0.0,38.0,38.0,12.0,6.0,2.0,2121.064,427.856,35.0,5725.73,178.7,4871.5601,795.67,286.0352,1473.86,3252.0576,5100.0,1577.066,152.48,135.18,188.33,102.4,1427.5,87.0,10.1,49.31,259.0,2659.3777,29.0,620.0,330.0,175.1,0.12,110.0,2936.42,6552.4867,1124.0,3575.0,26771.0022,10547.1224,1228.0,3800.0,1636.0,3049.22,4987.8704,232.56,5400.0,46369.0036,18761.61913,24.57,139.31,104.61,2169.66,561.0094,2169.66
1,3,2,304.0,1354.659466,3178.777764,241.13,878.0,3641.234752,84.0,27695.2,38.0,467.0,31.42,116.45,200.72,17177.324355,494.406781,16.17,21.0,815.8925,2411.441831,1525.0,897.22,577.22,266.48,22.82,46360.226209,2302.0,954.0,2431.29623,0.0,4942.0,826.06,399.677956,199.0,1249.83,2077.3,195.918625,5.0,1.0,0.0,0.12,195.76,300.0,95.33,136.004184,989.691521,1.0,1180.356995,4091.585208,254.372918,560.249641,426.2405,6.0,3.0,128.5,10.0,17.0,33.0,78.0,56.0,27.12,156.55,21.68,12.0,1.0,11.0,2776.320953,5074.551357,146.0,627.769601,11.355527,22315.76358,3942.709886,1425.0,452.0,480.0,2244.0,1524.0,473.730536,14.0,25.0,4577.926617,10783.409974,18982.463631,15177.896968,10376.284443,1120.0,1340.886885,16129.153206,462.0,11892.882934,2765.528398,544.0,987.0,7099.983905,2720.0,13252.197435,3356.0,14400.0,6811.566893,6247.965448,8352.507273,47.0,153.0,214.0,10141.935609,677.0,1918.0,0.0,38.0,38.0,12.0,8.0,4.0,2040.235744,390.042563,37.0,5727.030868,178.7,4031.779324,795.67,296.0,1320.0,3340.0,5100.0,1572.004365,152.48,111.0,186.33,102.4,1427.5,87.0,10.1,49.31,259.0,2738.288656,31.0,620.0,330.813513,153.128472,0.12,110.0,2950.0,6376.212426,1124.0,3573.0,27515.772413,10504.988,1227.4456,3800.0,1636.0,3059.330885,4786.592729,230.56,5402.0,47054.354021,19012.219909,24.57,139.31,133.39,2169.66,504.69074,2169.66
1,3,3,304.0,1251.370957,3312.435774,241.13,879.0,3659.989277,84.0,27695.2,38.0,467.0,31.42,116.45,200.72,16548.463262,508.960829,16.17,21.0,709.0,2515.746982,1525.0,897.22,577.22,266.48,22.82,45703.166681,2302.0,954.0,2212.7,0.0,4940.0,826.06,415.871661,199.0,1249.83,2077.3,176.04173,5.0,1.0,0.0,0.12,227.45,300.0,95.33,137.644547,993.947005,1.0,1142.922002,4010.879532,245.509663,624.047341,431.505817,7.0,3.0,128.5,10.0,17.0,33.0,78.0,56.0,27.12,156.55,21.68,12.0,1.0,11.0,2811.583409,5087.853644,146.0,491.950997,11.0,21761.965548,4040.0,1425.0,452.0,480.0,2244.0,1526.0,416.103531,14.0,27.0,4351.449586,11021.232934,17859.99772,15225.695218,10093.020967,1120.0,1063.372323,15086.740469,462.0,11978.677263,2814.512536,544.0,987.0,7232.989829,2720.0,13299.712351,3354.0,14400.0,6825.23157,6298.763121,8059.119856,47.0,151.0,214.0,9602.080826,677.0,1918.0,0.0,38.0,38.0,12.0,8.0,4.0,1985.744494,337.624744,35.0,5779.0,178.7,4404.264886,795.67,232.0,1419.892299,3340.0,5100.0,1589.0,150.48,111.0,186.33,104.4,1427.5,87.0,10.1,49.31,259.0,2863.231277,29.0,620.049629,332.0,163.389383,0.12,110.0,2920.642057,6106.3671,1126.0,3573.0,28647.436243,10440.9656,1226.6032,3800.0,1634.0,3074.694179,4480.755229,230.56,5400.0,48355.701422,19393.00291,24.57,137.31,104.61,2169.66,419.115633,2169.66
1,4,1,306.0,1422.635664,3090.8148,234.525104,878.0,3695.96616,84.0,27695.2,38.0,467.0,31.42,116.45,216.438602,17575.4716,484.828475,16.17,23.0,889.8651,2342.79656,1527.0,899.22,579.22,266.48,20.82,46796.65,2300.0,952.0,2408.6993,0.0,4942.0,828.06,389.02056,199.0,1249.83,2077.3,209.0,7.0,1.0,0.0,2.12,226.97465,300.0,97.33,134.924629,986.890904,1.0,1204.9937,4144.6992,260.206,525.605,424.775292,6.0,3.0,128.5,10.0,19.0,33.0,80.0,77.1497,27.12,156.55,23.68,14.0,3.0,11.0,2753.114037,5065.79686,148.0,717.744,11.0,22879.4103,3683.5,1423.0,450.0,482.0,2246.0,1526.0,511.656,16.0,27.0,5145.866,10869.93,19973.91136,15146.44,10594.554,1094.7566,1452.826,16816.5274,460.0,11836.42,3011.832,546.0,987.0,7229.248,2720.0,12723.588,3354.0,14402.0,6802.5739,6214.5345,8549.5913,45.0,153.0,214.0,10457.5744,679.0,1920.0,-0.0,38.0,38.0,12.0,6.0,2.0,2121.064,427.856,35.0,5725.73,178.7,4871.5601,795.67,286.0352,1473.86,3252.0576,5102.0,1577.066,152.48,135.18,188.33,104.4,1427.5,87.0,10.1,49.31,259.0,2659.3777,29.0,620.0,330.0,175.1,0.12,110.0,2936.42,6552.4867,1126.0,3575.0,26771.0022,10547.1224,1226.0,3800.0,1634.0,3049.22,4987.8704,232.56,5402.0,46369.0036,18761.61913,24.57,139.31,104.61,2169.66,561.0094,2169.66
