period,scenario,subscenario,subperiod,East-West Link
1,1,1,1,87
1,1,1,2,65
1,1,1,3,100
1,1,2,1,87
1,1,2,2,65
1,1,2,3,100
1,1,3,1,67
1,1,3,2,65
1,1,3,3,82
1,1,4,1,67
1,1,4,2,65
1,1,4,3,82
1,2,1,1,87
1,2,1,2,12
1,2,1,3,100
1,2,2,1,87
1,2,2,2,42
1,2,2,3,100
1,2,3,1,67
1,2,3,2,5
1,2,3,3,82
1,2,4,1,67
1,2,4,2,22
1,2,4,3,82
1,3,1,1,87
1,3,1,2,12
1,3,1,3,100
1,3,2,1,87
1,3,2,2,42
1,3,2,3,100
1,3,3,1,67
1,3,3,2,-8.00004
1,3,3,3,82
1,3,4,1,67
1,3,4,2,22
1,3,4,3,82
2,1,1,1,77
2,1,1,2,62
2,1,1,3,100
2,1,2,1,77
2,1,2,2,92
2,1,2,3,100
2,1,3,1,57
2,1,3,2,42
2,1,3,3,100
2,1,4,1,57
2,1,4,2,72
2,1,4,3,100
2,2,1,1,77
2,2,1,2,62
2,2,1,3,100
2,2,2,1,77
2,2,2,2,92
2,2,2,3,100
2,2,3,1,57
2,2,3,2,42
2,2,3,3,100
2,2,4,1,57
2,2,4,2,72
2,2,4,3,100
2,3,1,1,77
2,3,1,2,62
2,3,1,3,100
2,3,2,1,77
2,3,2,2,92
2,3,2,3,100
2,3,3,1,57
2,3,3,2,42
2,3,3,3,100
2,3,4,1,57
2,3,4,2,72
2,3,4,3,100
3,1,1,1,77
3,1,1,2,62
3,1,1,3,100
3,1,2,1,77
3,1,2,2,92
3,1,2,3,100
3,1,3,1,57
3,1,3,2,42
3,1,3,3,100
3,1,4,1,57
3,1,4,2,72
3,1,4,3,100
3,2,1,1,77
3,2,1,2,62
3,2,1,3,100
3,2,2,1,77
3,2,2,2,92
3,2,2,3,100
3,2,3,1,57
3,2,3,2,42
3,2,3,3,100
3,2,4,1,57
3,2,4,2,72
3,2,4,3,100
3,3,1,1,77
3,3,1,2,62
3,3,1,3,100
3,3,2,1,77
3,3,2,2,92
3,3,2,3,100
3,3,3,1,57
3,3,3,2,42
3,3,3,3,100
3,3,4,1,57
3,3,4,2,72
3,3,4,3,100
4,1,1,1,77
4,1,1,2,62
4,1,1,3,100
4,1,2,1,77
4,1,2,2,92
4,1,2,3,100
4,1,3,1,57
4,1,3,2,42
4,1,3,3,100
4,1,4,1,57
4,1,4,2,72
4,1,4,3,100
4,2,1,1,77
4,2,1,2,62
4,2,1,3,100
4,2,2,1,77
4,2,2,2,92
4,2,2,3,100
4,2,3,1,57
4,2,3,2,42
4,2,3,3,100
4,2,4,1,57
4,2,4,2,72
4,2,4,3,100
4,3,1,1,77
4,3,1,2,62
4,3,1,3,100
4,3,2,1,77
4,3,2,2,92
4,3,2,3,100
4,3,3,1,57
4,3,3,2,42
4,3,3,3,100
4,3,4,1,57
4,3,4,2,72
4,3,4,3,100
5,1,1,1,87
5,1,1,2,65
5,1,1,3,100
5,1,2,1,87
5,1,2,2,65
5,1,2,3,100
5,1,3,1,67
5,1,3,2,65
5,1,3,3,82
5,1,4,1,67
5,1,4,2,65
5,1,4,3,82
5,2,1,1,87
5,2,1,2,12
5,2,1,3,100
5,2,2,1,87
5,2,2,2,42
5,2,2,3,100
5,2,3,1,67
5,2,3,2,-8.00004
5,2,3,3,82
5,2,4,1,67
5,2,4,2,22
5,2,4,3,82
5,3,1,1,87
5,3,1,2,12
5,3,1,3,100
5,3,2,1,87
5,3,2,2,42
5,3,2,3,100
5,3,3,1,67
5,3,3,2,-8.00004
5,3,3,3,82
5,3,4,1,67
5,3,4,2,22
5,3,4,3,82
6,1,1,1,87
6,1,1,2,65
6,1,1,3,100
6,1,2,1,87
6,1,2,2,65
6,1,2,3,100
6,1,3,1,67
6,1,3,2,65
6,1,3,3,82
6,1,4,1,67
6,1,4,2,65
6,1,4,3,82
6,2,1,1,87
6,2,1,2,12
6,2,1,3,100
6,2,2,1,87
6,2,2,2,42
6,2,2,3,100
6,2,3,1,67
6,2,3,2,-8.00004
6,2,3,3,82
6,2,4,1,67
6,2,4,2,22
6,2,4,3,82
6,3,1,1,87
6,3,1,2,12
6,3,1,3,100
6,3,2,1,87
6,3,2,2,42
6,3,2,3,100
6,3,3,1,67
6,3,3,2,-8.00004
6,3,3,3,82
6,3,4,1,67
6,3,4,2,22
6,3,4,3,82
