period,scenario,subperiod,Thermal Owner - Island,Price Taker - Island,Hydro Owner - Island
1,1,1,1.4409599677920341e6,2.4435799264349043e6,77811.83978170156
1,1,1,1.4409599677920341e6,2.4435799264349043e6,77811.83978170156
1,1,1,1.4409599677920341e6,2.4435799264349043e6,77811.83978170156
1,2,1,1.4409599677920341e6,2.486801227275282e6,34590.544532984495
1,2,1,1.4409599677920341e6,2.486801227275282e6,34590.544532984495
1,2,1,1.4409599677920341e6,2.486801227275282e6,34590.544532984495
1,3,1,1.4409599677920341e6,2.512738481108099e6,8653.264838736504
1,3,1,1.4409599677920341e6,2.512738481108099e6,8653.264838736504
1,3,1,1.4409599677920341e6,2.512738481108099e6,8653.264838736504
1,4,1,1.4402880146820534e6,1.7225844668340401e6,77775.55431305336
1,4,1,1.4402880146820534e6,1.7225844668340401e6,77775.55431305336
1,4,1,1.4402880146820534e6,1.7225844668340401e6,77775.55431305336
1,5,1,1.4402880146820534e6,1.7657856125777003e6,34574.414158446416
1,5,1,1.4402880146820534e6,1.7657856125777003e6,34574.414158446416
1,5,1,1.4402880146820534e6,1.7657856125777003e6,34574.414158446416
1,6,1,1.4402880146820534e6,1.7917107936226826e6,8649.229620305845
1,6,1,1.4402880146820534e6,1.7917107936226826e6,8649.229620305845
1,6,1,1.4402880146820534e6,1.7917107936226826e6,8649.229620305845
1,7,1,1.4402880146820534e6,1.7225844808066732e6,77775.55431305336
1,7,1,1.4402880146820534e6,1.7225844808066732e6,77775.55431305336
1,7,1,1.4402880146820534e6,1.7225844808066732e6,77775.55431305336
1,8,1,1.4402880146820534e6,1.7657856041941203e6,34574.414158446416
1,8,1,1.4402880146820534e6,1.7657856041941203e6,34574.414158446416
1,8,1,1.4402880146820534e6,1.7657856041941203e6,34574.414158446416
1,9,1,1.4402880146820534e6,1.7917107852391028e6,8649.229620305845
1,9,1,1.4402880146820534e6,1.7917107852391028e6,8649.229620305845
1,9,1,1.4402880146820534e6,1.7917107852391028e6,8649.229620305845
1,10,1,1.4409599677920341e6,2.4435799124557525e6,77811.83978170156
1,10,1,1.4409599677920341e6,2.4435799124557525e6,77811.83978170156
1,10,1,1.4409599677920341e6,2.4435799124557525e6,77811.83978170156
1,11,1,1.4409599677920341e6,2.4868012132961303e6,34590.544532984495
1,11,1,1.4409599677920341e6,2.4868012132961303e6,34590.544532984495
1,11,1,1.4409599677920341e6,2.4868012132961303e6,34590.544532984495
1,12,1,1.4409599677920341e6,2.5127384671289474e6,8653.264838736504
1,12,1,1.4409599677920341e6,2.5127384671289474e6,8653.264838736504
1,12,1,1.4409599677920341e6,2.5127384671289474e6,8653.264838736504
2,1,1,1.4409599677920341e6,2.8473294273968786e6,34590.544532984495
2,1,1,1.4409599677920341e6,2.8473294273968786e6,34590.544532984495
2,1,1,1.4409599677920341e6,2.8473294273968786e6,34590.544532984495
2,2,1,1.4409599677920341e6,2.864635930513963e6,17284.014855511487
2,2,1,1.4409599677920341e6,2.864635930513963e6,17284.014855511487
2,2,1,1.4409599677920341e6,2.864635930513963e6,17284.014855511487
2,3,1,1.4409599677920341e6,2.8732666812296957e6,8653.264838736504
2,3,1,1.4409599677920341e6,2.8732666812296957e6,8653.264838736504
2,3,1,1.4409599677920341e6,2.8732666812296957e6,8653.264838736504
2,4,1,1.4402880146820534e6,2.1261456676674215e6,34574.414158446416
2,4,1,1.4402880146820534e6,2.1261456676674215e6,34574.414158446416
2,4,1,1.4402880146820534e6,2.1261456676674215e6,34574.414158446416
2,5,1,1.4402880146820534e6,2.143444145072456e6,17275.954917834722
2,5,1,1.4402880146820534e6,2.143444145072456e6,17275.954917834722
2,5,1,1.4402880146820534e6,2.143444145072456e6,17275.954917834722
2,6,1,1.4402880146820534e6,2.152070871068617e6,8649.229620305845
2,6,1,1.4402880146820534e6,2.152070871068617e6,8649.229620305845
2,6,1,1.4402880146820534e6,2.152070871068617e6,8649.229620305845
2,7,1,1.4402880146820534e6,2.1261456816400546e6,34574.414158446416
2,7,1,1.4402880146820534e6,2.1261456816400546e6,34574.414158446416
2,7,1,1.4402880146820534e6,2.1261456816400546e6,34574.414158446416
2,8,1,1.4402880146820534e6,2.143444159045089e6,17275.954917834722
2,8,1,1.4402880146820534e6,2.143444159045089e6,17275.954917834722
2,8,1,1.4402880146820534e6,2.143444159045089e6,17275.954917834722
2,9,1,1.4402880146820534e6,2.15207088504125e6,8649.229620305845
2,9,1,1.4402880146820534e6,2.15207088504125e6,8649.229620305845
2,9,1,1.4402880146820534e6,2.15207088504125e6,8649.229620305845
2,10,1,1.4409599677920341e6,2.8473294134177268e6,34590.544532984495
2,10,1,1.4409599677920341e6,2.8473294134177268e6,34590.544532984495
2,10,1,1.4409599677920341e6,2.8473294134177268e6,34590.544532984495
2,11,1,1.4409599677920341e6,2.8646359165348113e6,17284.014855511487
2,11,1,1.4409599677920341e6,2.8646359165348113e6,17284.014855511487
2,11,1,1.4409599677920341e6,2.8646359165348113e6,17284.014855511487
2,12,1,1.4409599677920341e6,2.873266667250544e6,8653.264838736504
2,12,1,1.4409599677920341e6,2.873266667250544e6,8653.264838736504
2,12,1,1.4409599677920341e6,2.873266667250544e6,8653.264838736504
