period,scenario,subperiod,Bus1
1,1,1,2661.113804
1,2,1,2661.113804
1,3,1,2661.113804
2,1,1,2661.113804
2,2,1,2661.113804
2,3,1,2661.113804
3,1,1,2661.113804
3,2,1,2661.113804
3,3,1,2661.113804
4,1,1,2661.113804
4,2,1,2661.113804
4,3,1,2661.113804
5,1,1,2661.113804
5,2,1,2661.113804
5,3,1,2661.113804
6,1,1,2661.113804
6,2,1,2661.113804
6,3,1,2661.113804
7,1,1,2536.53188
7,2,1,2536.53188
7,3,1,2536.53188
8,1,1,2536.53188
8,2,1,2536.53188
8,3,1,2536.53188
9,1,1,2417.782347
9,2,1,2417.782347
9,3,1,2417.782347
10,1,1,2417.782347
10,2,1,2417.782347
10,3,1,2417.782347
