period,scenario,subscenario,subperiod,East-West Link
1,1,1,1,87.0
1,1,1,2,12.0
1,1,1,3,100.0
1,1,2,1,87.0
1,1,2,2,42.0
1,1,2,3,100.0
1,1,3,1,67.000001
1,1,3,2,-7.999999
1,1,3,3,82.000001
1,1,4,1,67.000001
1,1,4,2,22.000001
1,1,4,3,82.000001
1,2,1,1,87.0
1,2,1,2,12.0
1,2,1,3,100.0
1,2,2,1,87.0
1,2,2,2,42.0
1,2,2,3,100.0
1,2,3,1,67.000001
1,2,3,2,-7.999999
1,2,3,3,82.000001
1,2,4,1,67.000001
1,2,4,2,22.000001
1,2,4,3,82.000001
1,3,1,1,87.0
1,3,1,2,12.0
1,3,1,3,100.0
1,3,2,1,87.0
1,3,2,2,42.0
1,3,2,3,100.0
1,3,3,1,67.000001
1,3,3,2,-7.999999
1,3,3,3,82.000001
1,3,4,1,67.000001
1,3,4,2,22.000001
1,3,4,3,82.000001
2,1,1,1,77.000003
2,1,1,2,62.000005
2,1,1,3,100.0
2,1,2,1,77.000003
2,1,2,2,92.000005
2,1,2,3,100.0
2,1,3,1,57.000002
2,1,3,2,42.000002
2,1,3,3,100.0
2,1,4,1,57.000002
2,1,4,2,72.000002
2,1,4,3,100.0
2,2,1,1,77.000003
2,2,1,2,62.000005
2,2,1,3,100.0
2,2,2,1,77.000003
2,2,2,2,92.000005
2,2,2,3,100.0
2,2,3,1,57.000002
2,2,3,2,42.000002
2,2,3,3,100.0
2,2,4,1,57.000002
2,2,4,2,72.000002
2,2,4,3,100.0
2,3,1,1,77.000003
2,3,1,2,62.000005
2,3,1,3,100.0
2,3,2,1,77.000003
2,3,2,2,92.000005
2,3,2,3,100.0
2,3,3,1,57.000002
2,3,3,2,42.000002
2,3,3,3,100.0
2,3,4,1,57.000002
2,3,4,2,72.000002
2,3,4,3,100.0
3,1,1,1,77.000003
3,1,1,2,62.000005
3,1,1,3,100.0
3,1,2,1,77.000003
3,1,2,2,92.000005
3,1,2,3,100.0
3,1,3,1,57.000002
3,1,3,2,42.000002
3,1,3,3,100.0
3,1,4,1,57.000002
3,1,4,2,72.000002
3,1,4,3,100.0
3,2,1,1,77.000003
3,2,1,2,62.000005
3,2,1,3,100.0
3,2,2,1,77.000003
3,2,2,2,92.000005
3,2,2,3,100.0
3,2,3,1,57.000002
3,2,3,2,42.000002
3,2,3,3,100.0
3,2,4,1,57.000002
3,2,4,2,72.000002
3,2,4,3,100.0
3,3,1,1,77.000003
3,3,1,2,62.000005
3,3,1,3,100.0
3,3,2,1,77.000003
3,3,2,2,92.000005
3,3,2,3,100.0
3,3,3,1,57.000002
3,3,3,2,42.000002
3,3,3,3,100.0
3,3,4,1,57.000002
3,3,4,2,72.000002
3,3,4,3,100.0
4,1,1,1,77.000003
4,1,1,2,62.000005
4,1,1,3,100.0
4,1,2,1,77.000003
4,1,2,2,92.000005
4,1,2,3,100.0
4,1,3,1,57.000002
4,1,3,2,42.000002
4,1,3,3,100.0
4,1,4,1,57.000002
4,1,4,2,72.000002
4,1,4,3,100.0
4,2,1,1,77.000003
4,2,1,2,62.000005
4,2,1,3,100.0
4,2,2,1,77.000003
4,2,2,2,92.000005
4,2,2,3,100.0
4,2,3,1,57.000002
4,2,3,2,42.000002
4,2,3,3,100.0
4,2,4,1,57.000002
4,2,4,2,72.000002
4,2,4,3,100.0
4,3,1,1,77.000003
4,3,1,2,62.000005
4,3,1,3,100.0
4,3,2,1,77.000003
4,3,2,2,92.000005
4,3,2,3,100.0
4,3,3,1,57.000002
4,3,3,2,42.000002
4,3,3,3,100.0
4,3,4,1,57.000002
4,3,4,2,72.000002
4,3,4,3,100.0
5,1,1,1,87.0
5,1,1,2,12.0
5,1,1,3,100.0
5,1,2,1,87.0
5,1,2,2,42.0
5,1,2,3,100.0
5,1,3,1,67.000001
5,1,3,2,-7.999999
5,1,3,3,82.000001
5,1,4,1,67.000001
5,1,4,2,22.000001
5,1,4,3,82.000001
5,2,1,1,87.0
5,2,1,2,12.0
5,2,1,3,100.0
5,2,2,1,87.0
5,2,2,2,42.0
5,2,2,3,100.0
5,2,3,1,67.000001
5,2,3,2,-7.999999
5,2,3,3,82.000001
5,2,4,1,67.000001
5,2,4,2,22.000001
5,2,4,3,82.000001
5,3,1,1,87.0
5,3,1,2,12.0
5,3,1,3,100.0
5,3,2,1,87.0
5,3,2,2,42.0
5,3,2,3,100.0
5,3,3,1,67.000001
5,3,3,2,-7.999999
5,3,3,3,82.000001
5,3,4,1,67.000001
5,3,4,2,22.000001
5,3,4,3,82.000001
6,1,1,1,87.0
6,1,1,2,12.0
6,1,1,3,100.0
6,1,2,1,87.0
6,1,2,2,42.0
6,1,2,3,100.0
6,1,3,1,67.000001
6,1,3,2,-7.999999
6,1,3,3,82.000001
6,1,4,1,67.000001
6,1,4,2,22.000001
6,1,4,3,82.000001
6,2,1,1,87.0
6,2,1,2,12.0
6,2,1,3,100.0
6,2,2,1,87.0
6,2,2,2,42.0
6,2,2,3,100.0
6,2,3,1,67.000001
6,2,3,2,-7.999999
6,2,3,3,82.000001
6,2,4,1,67.000001
6,2,4,2,22.000001
6,2,4,3,82.000001
6,3,1,1,87.0
6,3,1,2,12.0
6,3,1,3,100.0
6,3,2,1,87.0
6,3,2,2,42.0
6,3,2,3,100.0
6,3,3,1,67.000001
6,3,3,2,-7.999999
6,3,3,3,82.000001
6,3,4,1,67.000001
6,3,4,2,22.000001
6,3,4,3,82.000001
