period,scenario,subperiod,hydro,thermal,renewable,battery_unit,deficit
1,1,1,0.0,0.0,0.082936,0.0,0.0
1,2,1,0.0,0.0,0.082936,0.0,0.0
1,3,1,0.0,0.0,0.082936,0.0,0.0
1,4,1,0.0,0.0,0.062208,0.0,0.0
1,5,1,0.0,0.0,0.062208,0.0,0.0
1,6,1,0.0,0.0,0.062208,0.0,0.0
1,7,1,0.0,0.0,0.062208,0.0,0.0
1,8,1,0.0,0.0,0.062208,0.0,0.0
1,9,1,0.0,0.0,0.062208,0.0,0.0
1,10,1,0.0,0.0,0.082936,0.0,0.0
1,11,1,0.0,0.0,0.082936,0.0,0.0
1,12,1,0.0,0.0,0.082936,0.0,0.0
2,1,1,0.0,0.0,0.093312,0.0,0.0
2,2,1,0.0,0.0,0.093312,0.0,0.0
2,3,1,0.0,0.0,0.093312,0.0,0.0
2,4,1,0.0,0.0,0.072584,0.0,0.0
2,5,1,0.0,0.0,0.072584,0.0,0.0
2,6,1,0.0,0.0,0.072584,0.0,0.0
2,7,1,0.0,0.0,0.072584,0.0,0.0
2,8,1,0.0,0.0,0.072584,0.0,0.0
2,9,1,0.0,0.0,0.072584,0.0,0.0
2,10,1,0.0,0.0,0.093312,0.0,0.0
2,11,1,0.0,0.0,0.093312,0.0,0.0
2,12,1,0.0,0.0,0.093312,0.0,0.0
